平成２５年度　水道事業の決算,,,
,,,
●収益的収支　　消費税抜き　※水道水を供給するための費用,,,
,,,
＜収入＞,単位：千円,＜支出＞,単位：千円
区分 ,Ｈ２５年度決算額 ,区分 ,Ｈ２５年度決算額 
給水収益,"9,434,695",減価償却費,"2,675,683"
受託工事収益,"71,198",支払利息,"934,392"
その他営業収益,"296,006",人件費,"1,305,080"
営業外収益,"50,984",工事請負費,"276,036"
特別利益,"8,693",委託料,"1,523,926"
計,"9,861,576",動力費,"535,162"
,,修繕費,"1,004,456"
,,受託工事費,"59,182"
,,特別損失,"149,628"
,,その他,"656,276"
,,計 ,"9,119,821"
,,差引損益,"741,755"
,,,
,,,
●資本的収支　　消費税込み,※水道施設を造るための費用,,
＜収入＞,単位：千円,＜支出＞,単位：千円
区分 ,Ｈ２５年度決算額 ,区分 ,Ｈ２５年度決算額
企業債,"2,600,000",拡張事業費,"3,583,998"
固定資産売却代金,9,改良事業費,"2,594,037"
国庫補助金,"145,826",企業債償還金,"2,097,380"
工事負担金,"115,054",その他,"3,346"
補てん財源,"5,396,965",計,"8,278,761"
その他,"20,907",,
計,"8,278,761",,
