年次,人口総数,人口（男）,人口（女）,世　帯　数
大正4年,64875,32736,32139,13563
大正5年,67697,34198,33499,13728
大正6年,69542,35153,34389,14173
大正7年,71366,35925,35441,14892
大正8年,72774,36594,36180,14972
大正9年,74093,38091,36002,14543
大正10年,71991,35859,36132,15308
大正11年,73125,36441,36684,15439
大正12年,78057,38663,39394,15979
大正13年,78419,39402,39017,16255
大正14年,84772,44392,40380,16524
昭和元年,82388,41724,40664,16740
昭和2年,83418,42488,40930,17032
昭和3年,102773,50907,51866,20421
昭和4年,129039,64188,64851,25716
昭和5年,136481,69654,66827,26323
昭和6年,137198,68153,69045,26736
昭和7年,149470,74828,74642,28865
昭和8年,152112,75878,76234,29276
昭和9年,191005,94681,96324,35734
昭和10年,200737,100860,99877,36492
昭和11年,201059,99523,101536,37104
昭和12年,204313,100824,103489,37637
昭和13年,207328,101937,105391,38192
昭和14年,210677,103244,107433,39157
昭和15年,212198,105553,106645,38652
昭和16年,219212,108187,111025,39946
昭和17年,223503,110829,112674,40507
昭和18年,227289,113223,114066,41017
昭和19年,211666,98442,113224,41485
昭和20年,161376,77776,83600,32241
昭和21年,181571,87715,93856,35185
昭和22年,205737,101141,104596,40558
昭和23年,220284,108596,111688,42340
昭和24年,233281,114735,118546,45601
昭和25年,238629,117336,121293,46107
昭和26年,252241,123947,128294,48338
昭和27年,259617,127790,131827,49617
昭和28年,265845,131017,134828,51110
昭和29年,271590,133908,137682,52434
昭和30年,295172,146132,149040,56483
昭和31年,301537,149245,152292,57509
昭和32年,307916,152395,155521,58026
昭和33年,315642,156179,159463,58602
昭和34年,323275,159809,163466,59274
昭和35年,328819,162654,166165,70054
昭和36年,336085,166289,169796,70712
昭和37年,344336,170389,173947,71705
昭和38年,354755,175935,178820,73079
昭和39年,363135,180483,182652,73859
昭和40年,367705,182025,185680,87557
昭和41年,374956,185494,189462,91583
昭和42年,386089,191541,194548,96182
昭和43年,394459,195716,198743,99614
昭和44年,417209,207142,210067,106257
昭和45年,416378,205629,210749,109349
昭和46年,423301,208947,214354,113170
昭和47年,427313,210867,216446,115939
昭和48年,433715,213982,219733,119895
昭和49年,439220,216537,222683,123323
昭和50年,446952,220272,226680,126134
昭和51年,450322,221802,228520,129064
昭和52年,452138,222654,229484,129797
昭和53年,454002,223502,230500,130798
昭和54年,456307,224470,231837,132221
昭和55年,458341,225143,233198,137657
昭和56年,459391,225192,234199,138919
昭和57年,461216,225787,235429,141216
昭和58年,463107,226408,236699,144039
昭和59年,464662,227091,237571,146275
昭和60年,468362,229590,238772,144899
昭和61年,470025,230298,239727,146652
昭和62年,471792,231137,240655,148679
昭和63年,472829,231681,241148,150701
平成元年,473208,231885,241323,152666
平成2年,472196,230924,241272,154837
平成3年,472666,231332,241334,157137
平成4年,473034,231432,241602,159253
平成5年,472748,231364,241384,161046
平成6年,472304,231020,241284,162752
平成7年,474092,232068,242024,165452
平成8年,473695,231892,241803,167315
平成9年,473854,231852,242002,169278
平成10年,473797,231908,241889,171110
平成11年,473649,231840,241809,172918
平成12年,469695,229224,240471,171496
平成13年,468942,228472,240470,173027
平成14年,468899,228327,240572,175087
平成15年,703194,342576,360618,262197
平成16年,702499,342148,360351,265372
平成17年,700886,340999,359887,264073
平成18年,712170,346549,365621,270996
平成19年,710749,345616,365133,273645
平成20年,709673,345026,364647,276467
平成21年,717198,348533,368665,281879
平成22年,716197,348609,367588,279019
平成23年,714513,347732,366781,281222
平成24年,712330,346549,365781,283013
平成25年,709702,345400,364302,285618
平成26年,706553,343809,362744,288098
