"カテゴリ","名称","住所","X座標","Y座標"
"避難所","清水興津小学校","清水区興津中町350-1",2385.13586057,-104907.02982700
"避難所","清水袖師小学校","清水区袖師町420",-977.51853548,-107019.40982800
"避難所","清水駒越小学校","清水区駒越東町2-20",145.90788938,-112956.44408700
"避難所","清水小学校","清水区松井町15-1",-900.14016524,-110663.39937000
"避難所","清水港湾労働者福祉センター","清水区横砂408-13",405.71789255,-106370.58643600
"避難所","科学技術高校","葵区長沼500-1",-8194.28017094,-112142.72358300
"避難所","由比北小学校","清水区由比入山2158",5184.39460321,-96607.50007090
"避難所","由比中学校","清水区由比456",5661.61606201,-98696.59728380
"避難所","由比小学校","清水区由比町屋原329",5236.99157713,-98937.82146630
"避難所","清水飯田中学校","清水区山原112-1",-2895.69040152,-106359.21627800
"避難所","清水北部交流センター","清水区八坂町2111-2",-2610.83244341,-106382.16295600
"避難所","清水飯田東小学校","清水区八坂北1-23-40",-2487.34194213,-107119.42611000
"避難所","清水飯田小学校","清水区下野中2-40",-2814.74090728,-107059.02654700
"避難所","清水第六中学校","清水区天王西10-40",-3692.17340007,-107642.02105600
"避難所","清水高部東小学校","清水区押切1907",-4050.20841790,-107066.57008000
"避難所","清水高部小学校","清水区押切1115-2",-4548.82117420,-107671.72954900
"避難所","美和中学校","葵区足久保口組3276-2",-12034.49861760,-106157.42602700
"避難所","美和小学校","葵区遠藤新田69-1",-11981.24625110,-107561.62909600
"避難所","賤機中学校","葵区下1353-1",-11152.11302880,-107426.11101900
"避難所","北部体育館","葵区松富4-14-1",-11577.95159730,-108908.98285500
"避難所","賤機南小学校","葵区松富3-1-46",-11456.36444030,-109395.27456200
"避難所","城北小学校","葵区北安東4-27-3",-10230.70387200,-110585.51549700
"避難所","静岡中央高校","葵区城北2-29-1",-9778.79763708,-110343.24286200
"避難所","観山中学校","葵区観山8-2",-9682.97491128,-109498.99529500
"避難所","麻機小学校","葵区有永421-1",-10051.13769610,-108180.57245300
"避難所","北沼上小学校","葵区北沼上1020",-6931.37745493,-105669.85965300
"避難所","竜爪中学校","葵区瀬名7-31-40",-6940.17287108,-107539.05101400
"避難所","静岡北高校","葵区瀬名5-14-1",-7133.29305520,-108015.59059700
"避難所","西奈小学校","葵区瀬名3-23-1",-7131.52813050,-108424.66082600
"避難所","リンク西奈(西奈生涯学習センター)","葵区瀬名2-32-43",-7055.21029831,-109004.24881700
"避難所","常葉学園橘中学校・高等学校","葵区瀬名2-1-2",-7549.19193556,-109379.05540600
"避難所","静岡東高校","葵区川合3-24-1",-7976.71379522,-109932.92263000
"避難所","千代田東小学校","葵区川合3-4-1",-7929.78486649,-110194.68350100
"避難所","竜南小学校","葵区竜南1-23-1",-9472.58278923,-111073.04070100
"避難所","静岡城北高校","葵区北安東2-3-1",-10513.30604780,-111431.35494300
"避難所","安東中学校","葵区安東3-13-1",-10569.24183270,-111664.44846500
"避難所","中藁科小学校小布杉分校","葵区小布杉1756-1",-23411.23042380,-111073.34229000
"避難所","足久保小学校","葵区足久保奥組741-1",-14782.49331050,-104114.56473400
"避難所","水見色小学校","葵区水見色1040-3",-18730.13287330,-106664.45668400
"避難所","清沢生涯学習交流館","葵区昼居渡66-2",-22464.27904580,-107110.72575400
"避難所","清沢避難所","葵区鍵穴723-1",-23101.21674370,-105502.33598400
"避難所","清沢小学校","葵区相俣99-1",-23212.50282890,-107212.91887800
"避難所","峰山小学校","葵区黒俣2741-16",-26711.06478440,-103283.44380500
"避難所","大川中学校","葵区日向876",-23660.96886140,-100665.56640500
"避難所","静岡市クリエーターズビレッジ","葵区楢尾329",-25993.82758490,-97460.94943730
"避難所","賤機中小学校","葵区牛妻2095-2",-11834.89533300,-103814.83596700
"避難所","松野小学校","葵区松野598-2",-12107.76766030,-102461.40130500
"避難所","賤機北小学校","葵区俵沢234-1",-12086.16149650,-98949.32875780
"避難所","玉川中学校","葵区落合840",-15750.83480640,-98028.01989710
"避難所","玉川小学校","葵区落合103-3",-15114.11786900,-98667.78792730
"避難所","井川幼稚園","葵区井川548-1",-23778.79815560,-86357.32551920
"避難所","井川中学校","葵区井川1561-3",-24127.60864830,-86585.42936340
"避難所","井川小学校","葵区井川708-1",-23753.29644020,-86137.75526590
"避難所","梅ヶ島中学校","葵区梅ヶ島1309-1",-14578.82664590,-83856.30333370
"避難所","梅ヶ島小学校","葵区梅ヶ島1309-1",-14518.01260970,-83878.38579160
"避難所","口坂本避難所","葵区口坂本544",-20485.85893510,-90460.59873290
"避難所","玉川キャンプセンター","葵区長妻田755",-15779.42989570,-92836.24783370
"避難所","清水西河内小学校","清水区西里143",-5176.50315262,-97424.87446940
"避難所","大河内中学校","葵区平野1850-66",-12607.10444120,-94345.97237830
"避難所","清水清見潟公園スポーツセンター","清水区横砂408-38",55.09182006,-106757.40367800
"避難所","蒲原中学校","清水区蒲原49",10861.82797620,-97179.15382090
"避難所","蒲原東小学校","清水区蒲原666",9958.58498178,-97952.94752230
"避難所","蒲原文化センター","清水区蒲原新田1-21-１",8689.57738686,-98045.09941200
"避難所","蒲原西小学校","清水区蒲原新田2-25-1",8708.03713366,-97742.93513310
"避難所","清水中河内小学校","清水区中河内2583-1",-2631.25041590,-95694.97531410
"避難所","清水和田島小学校","清水区和田島611",-1768.64689880,-98886.23042120
"避難所","清水両河内中学校","清水区和田島303",-1868.91780265,-99013.58605500
"避難所","清水宍原小学校","清水区宍原919",1717.09239033,-93225.29505970
"避難所","清水小河内小学校","清水区小河内2723",1040.85793459,-97543.21406110
"避難所","折戸老人福祉センター羽衣荘","清水区折戸4-8-53",1250.93057782,-111997.90384000
"避難所","清水南高校・中等部","清水区折戸3-2-1",952.05666701,-112692.49542400
"避難所","清水三保第二小学校","清水区折戸5-8-2",1531.37841520,-111920.44377600
"避難所","清水第五中学校","清水区三保1720",2315.52501932,-110803.48667200
"避難所","清水三保第一小学校","清水区三保1069-1",2066.22681657,-110878.54246100
"避難所","清水辻小学校","清水区辻4-3-40",-1391.27824590,-107965.40644700
"避難所","清水小島中学校","清水区但沼町271",981.53712979,-99682.32864050
"避難所","清水小島小学校","清水区小島町619",1403.49886076,-100772.48245900
"避難所","清水東部老人憩の家","清水区興津中町1288",2535.02663170,-104217.45389700
"避難所","清水興津中学校","清水区興津中町1478-10",2021.16092417,-104713.14033100
"避難所","清水袖師中学校","清水区西久保125-1",-1258.64371760,-106671.60941500
"避難所","清水庵原中学校","清水区原245",-1854.59106172,-105276.17569500
"避難所","清水庵原小学校","清水区庵原町1723",-2224.14965956,-105223.68231800
