"カテゴリ","名称","住所","X座標","Y座標"
"避難所（乳幼児）","安倍口中央こども園","葵区安倍口団地3-1",-12358.92701790,-108666.65549600
"避難所（乳幼児）","北沼上保育園","葵区北沼上758-1",-6876.20975234,-107048.28464500
"避難所（乳幼児）","服織中央こども園","葵区羽鳥本町25-33",-15498.49292750,-112446.59754800
"避難所（乳幼児）","中藁科こども園","葵区大原1237",-20190.06820920,-110083.98208700
"避難所（乳幼児）","瀬名川こども園","葵区瀬名川1-21-40",-6678.80580289,-110414.17626300
"避難所（乳幼児）","上土こども園","葵区古庄4-2-11",-7663.18880294,-111050.08000200
"避難所（乳幼児）","長沼こども園","葵区長沼町2-18-31",-7816.34047529,-111682.79925000
"避難所（乳幼児）","小黒こども園","駿河区小黒1-7-6",-9039.80647409,-113712.29753900
"避難所（乳幼児）","東豊田中央こども園","駿河区国吉田6-7-29",-5779.00344018,-112009.58963900
"避難所（乳幼児）","富士見台こども園","駿河区富士見台2-11-44",-7482.68068982,-115032.99135500
"避難所（乳幼児）","八幡こども園","駿河区八幡2-15-20",-9373.09521919,-114083.86675800
"避難所（乳幼児）","登呂こども園","駿河区登呂3-19-1",-8468.93024384,-115537.08461700
"避難所（乳幼児）","高松こども園","駿河区敷地2-7-14",-7986.09428333,-116564.96053200
"避難所（乳幼児）","服織こども園","葵区山崎1-17-1",-13348.64360860,-113633.40932300
"避難所（乳幼児）","丸子こども園","駿河区丸子2-18-32",-13202.97222210,-117274.47244100
"避難所（乳幼児）","下川原こども園","駿河区下川原6-8-26",-11536.14469970,-118303.41988400
"避難所（乳幼児）","東新田こども園","駿河区東新田4-1-40",-11349.11081580,-117060.45014200
"避難所（乳幼児）","田町こども園","葵区田町1-79",-12227.80864610,-113718.36122400
"避難所（乳幼児）","新富町こども園","葵区新富町3-21-2",-11923.88119070,-114112.66304700
"避難所（乳幼児）","中田こども園","駿河区馬淵4-2-29",-9831.94399024,-115090.43724500
"避難所（乳幼児）","中村町こども園","駿河区中村町94",-9850.93379246,-116055.09728600
"避難所（乳幼児）","入江こども園","清水区入江1-13-15",-1884.27482880,-108828.18698700
"避難所（乳幼児）","川原こども園","清水区川原町24-8",-2249.64659579,-110909.14826300
"避難所（乳幼児）","清水こども園","清水区本町11-32",-1171.08318724,-109990.52668400
"避難所（乳幼児）","駒越こども園","清水区迎山4-15",-692.52928230,-113433.90498900
"避難所（乳幼児）","三保こども園","清水区三保1601",2081.71579163,-111005.96811400
"避難所（乳幼児）","清水特別支援学校","清水区八坂東1-16-1",-1865.48706101,-106979.48240700
"避難所（乳幼児）","高部中央こども園","清水区梅ヶ谷459-1",-4391.57176752,-106229.30768400
"避難所（乳幼児）","有度西こども園","清水区中之郷1-10-27",-5414.28125618,-111100.56937000
"避難所（乳幼児）","有度北こども園","清水区長崎740-1",-5184.42541032,-109202.50090900
"避難所（乳幼児）","庵原こども園","清水区庵原町1938",-2430.79538075,-104931.91644900
"避難所（乳幼児）","横砂こども園","清水区横砂東町17-5",256.92679703,-106035.79090600
"避難所（乳幼児）","興津北こども園","清水区八木間町478",1913.37948800,-103683.54116500
"避難所（乳幼児）","西久保こども園","清水区西久保438-1",-1425.08951401,-106963.89541300
