"カテゴリ","名称","住所","X座標","Y座標"
"災害時要援護者等避難施設","楽寿","葵区与左衛門新田98-11",-12008.09189170,-107946.61358400
"災害時要援護者等避難施設","鶴舞乃城","清水区庵原町3158",-2805.80703014,-104641.47173700
"災害時要援護者等避難施設","好日の園","清水区蒲原神沢1359-1",6524.42198435,-98090.06612700
"災害時要援護者等避難施設","浜石の郷","清水区由比阿僧189-1",5125.98529674,-98148.38256650
"災害時要援護者等避難施設","静岡広野病院","駿河区広野1494-8",-11285.15221940,-118934.91370500
"災害時要援護者等避難施設","きよみの里","清水区興津東町865-3",3159.06240081,-104102.72186000
"災害時要援護者等避難施設","アリス草薙","清水区草薙424-7",-4065.11198041,-112430.14606800
"災害時要援護者等避難施設","ケア・センターひまわり","清水区村松原1-2-34",-964.45180034,-110973.14253700
"災害時要援護者等避難施設","あかつきの園","清水区駒越2883-1",-2043.71929901,-113748.70937900
"災害時要援護者等避難施設","静岡瀬名病院","葵区瀬名4629-1",-6594.94616411,-106966.79929900
"災害時要援護者等避難施設","かりん","駿河区宇津ノ谷1-1",-17014.10336910,-117640.44543500
"災害時要援護者等避難施設","葵の里","駿河区小坂376-1",-13500.08464520,-118810.86925600
"災害時要援護者等避難施設","ケアセンター池田の街","駿河区池田185-10",-7126.03708503,-112577.63880100
"災害時要援護者等避難施設","萩の里","駿河区西大谷12-5",-6666.75568996,-116220.55980600
"災害時要援護者等避難施設","サンライズ大浜","駿河区西島528",-8881.72183351,-117200.84456800
"災害時要援護者等避難施設","あみ","葵区福田ヶ谷73-2",-10999.70497250,-108045.10916700
"災害時要援護者等避難施設","こみに","葵区赤松8-16",-9460.49434628,-108175.81778500
"災害時要援護者等避難施設","ケアセンター瀬名","葵区長尾39-5",-6551.14750602,-106874.48556400
"災害時要援護者等避難施設","小鹿老人福祉センター（来てこ）","駿河区小鹿二丁目25-45",-7211.56109828,-113946.84921100
"災害時要援護者等避難施設","聖ヨゼフの園","駿河区八幡4-6-9",-9354.45107611,-114485.29109600
"災害時要援護者等避難施設","あすなろの家","清水区山原871-2",-3483.97010261,-105973.69106700
"災害時要援護者等避難施設","柏尾の里","清水区柏尾387-2",-5407.48697894,-106666.01984000
"災害時要援護者等避難施設","楽寿の園","葵区与左衛門新田74-6",-11971.22888930,-107899.85553500
"災害時要援護者等避難施設","鯨ヶ池老人福祉センター","葵区下951-１",-10599.88534540,-106293.30449200
"災害時要援護者等避難施設","麻機園","葵区東527-1",-9324.52666551,-108260.42050500
"災害時要援護者等避難施設","竜爪園","葵区長尾89-1",-6650.70798360,-106739.63345500
"災害時要援護者等避難施設","長尾川老人福祉センター","葵区長尾117",-6659.94143842,-106812.53288400
"災害時要援護者等避難施設","りんどう","葵区水見色360",-19311.37318680,-106862.74876700
"災害時要援護者等避難施設","晃の園","葵区富沢1542-39",-21882.61876300,-108708.76453000
"災害時要援護者等避難施設","カリタス２１","葵区桂山723-6",-14248.35701020,-98536.03517000
"災害時要援護者等避難施設","レジデンス花","清水区中河内2717",-2509.47338271,-96215.46261840
"災害時要援護者等避難施設","百花園","清水区中河内2780",-2574.09144692,-96189.05053190
"災害時要援護者等避難施設","宍原荘","清水区宍原362",1899.75397180,-93146.95232090
"災害時要援護者等避難施設","羽衣の園","清水区折戸5-18-36",1727.25863600,-112014.07608700
"災害時要援護者等避難施設","白扇閣","清水区承元寺町1341",1790.34242013,-101837.25541200
"災害時要援護者等避難施設","静岡市桜の園","葵区内牧1560-6",-13961.88056290,-108326.01088700
"災害時要援護者等避難施設","安倍寮","葵区慈悲尾180",-13565.54254760,-111008.77361300
"災害時要援護者等避難施設","静岡市わらしな学園","葵区飯間2263",-17358.88923390,-112914.27760600
"災害時要援護者等避難施設","静岡老人ホーム","葵区吉津1905",-17198.35741230,-112974.78760400
"災害時要援護者等避難施設","吉津園","葵区吉津199",-17387.10250630,-113186.96737200
"災害時要援護者等避難施設","丸子の里","駿河区丸子3000-1",-15547.98979070,-116541.83472800
"災害時要援護者等避難施設","有度の里","清水区長崎新田311",-4765.26356128,-109109.42090800
"災害時要援護者等避難施設","巴の園","清水区万世町1-1-30",-1186.70632928,-109440.69953400
"災害時要援護者等避難施設","久能の里","駿河区根古屋289-1",-2681.83697728,-115115.11306800
"災害時要援護者等避難施設","静岡医療福祉センター成人部","駿河区曲金5-3-30",-7986.81869638,-113570.23772300
"災害時要援護者等避難施設","小鹿苑","駿河区小鹿1-1-24",-7829.90312322,-113649.57581400
"災害時要援護者等避難施設","小坂の郷","駿河区小坂1106-1",-13734.93561490,-119243.88018500
"災害時要援護者等避難施設","用宗老人福祉センター","駿河区用宗5-21-10",-12550.94562140,-119922.53690800
"災害時要援護者等避難施設","厚寿苑","葵区北番町66-2",-12003.24952630,-113182.89224700
"災害時要援護者等避難施設","なごみ","駿河区中島2580-1",-9100.52731246,-118254.28254000
"災害時要援護者等避難施設","厚生苑清流の郷","葵区柳町185-5",-12525.49028290,-113192.75839400
"災害時要援護者等避難施設","ゆめ","葵区羽鳥本町20-98",-15577.16566710,-112497.36198800
"災害時要援護者等避難施設","ひかり","葵区羽鳥7-14-72",-15505.59514760,-111998.48925100
"災害時要援護者等避難施設","羽鳥の森","葵区羽鳥7-6-38",-15104.48626540,-111978.11633700
"災害時要援護者等避難施設","登呂の家","駿河区登呂3-4-1",-8534.32154352,-115475.93264300
"災害時要援護者等避難施設","丸子の里わかば","駿河区丸子6-1-29-3",-13733.25509140,-116686.77485900
"災害時要援護者等避難施設","小鹿なでしこ苑","駿河区小鹿402-1",-6793.81223716,-114155.50058300
"災害時要援護者等避難施設","こもれび","清水区吉原1731",-3245.31318675,-101719.06104900
"災害時要援護者等避難施設","いはらの里","清水区庵原町578-1",-2319.38425519,-105916.59576800
"災害時要援護者等避難施設","県立静岡聴覚特別支援学校　学習棟","駿河区中村町251",-9816.72067608,-116377.28212200
