"カテゴリ","名称","住所","X座標","Y座標"
"消防本部・消防署・出張所","追手町消防署井川出張所","葵区井川994番地の1",-23373.16887300,-86118.41332480
"消防本部・消防署・出張所","日本平消防署三保出張所","清水区三保3503番地の47",1828.73589305,-110322.26318400
"消防本部・消防署・出張所","湾岸消防署小島出張所","清水区小河内3445番地の1",1210.38355409,-99044.07821220
"消防本部・消防署・出張所","湾岸消防署興津出張所","清水区八木間町409番地の2",2237.22987354,-104062.61385000
"消防本部・消防署・出張所","清水消防署有度出張所","清水区吉川507番地の1",-3768.81267636,-109233.19478800
"消防本部・消防署・出張所","清水消防署高部出張所","清水区押切1587番地",-4103.72794449,-107543.62647400
"消防本部・消防署・出張所","千代田消防署瀬名出張所","葵区瀬名一丁目19番11号",-6953.42990083,-109382.41834500
"消防本部・消防署・出張所","千代田消防署城東出張所","葵区城東町55番10号",-9985.45488320,-112332.01679600
"消防本部・消防署・出張所","石田消防署大谷出張所","駿河区水上28番地の10",-6541.09200321,-115858.23052000
"消防本部・消防署・出張所","石田消防署用宗出張所","駿河区用宗二丁目7番5号",-12275.48544770,-119161.29340700
"消防本部・消防署・出張所","石田消防署鎌田出張所","駿河区鎌田54番地の4",-12766.43846430,-116907.42017400
"消防本部・消防署・出張所","石田消防署稲川出張所","駿河区稲川一丁目5番12号",-9958.27106532,-114585.41376100
"消防本部・消防署・出張所","石田消防署東豊田出張所","駿河区聖一色206番地の3",-6726.65334712,-112131.83442800
"消防本部・消防署・出張所","追手町消防署山崎出張所","葵区山崎二丁目3番地の8",-13266.93681090,-113408.83993100
"消防本部・消防署・出張所","追手町消防署南田町出張所","葵区南田町1番1号",-11808.76047670,-114908.53719700
"消防本部・消防署・出張所","追手町消防署平和出張所","葵区平和一丁目3番58号",-12299.02351180,-112227.07390100
"消防本部・消防署・出張所","追手町消防署","葵区追手町6番2号",-10805.40707280,-113601.32456400
"消防本部・消防署・出張所","湾岸消防署","清水区横砂408番地の13",386.41723312,-106299.09406600
"消防本部・消防署・出張所","湾岸消防署庵原分署","清水区由比716番地の1",6433.67250865,-98614.68309870
"消防本部・消防署・出張所","清水消防署","清水区東大曲町6番8号",-2469.05814013,-108553.82409000
"消防本部・消防署・出張所","日本平消防署","清水区村松625番地の4",-1226.63933622,-112145.42328500
"消防本部・消防署・出張所","千代田消防署","葵区東千代田二丁目1番10号",-8427.80466600,-110808.81171700
"消防本部・消防署・出張所","静岡市消防本部","葵区追手町6番2号",-10791.47634860,-113571.82175800
"消防本部・消防署・出張所","石田消防署","駿河区石田三丁目12番35号",-9254.07522913,-115762.23648000
"消防本部・消防署・出張所","千代田消防署しずはた出張所","葵区下94番地の1",-10957.96677460,-107441.64389500
