"カテゴリ","名称","住所","X座標","Y座標"
"防災ヘリポート","由比中学校","清水区由比456",5705.38399094,-98772.83350280
"防災ヘリポート","清水飯田中学校","清水区山原112－１",-2780.18689679,-106342.14222400
"防災ヘリポート","県立こども病院","葵区漆山860",-9448.22245731,-108706.57544600
"防災ヘリポート","静岡ヘリポート（市営）","葵区諏訪８－10",-8329.62549331,-108337.12375800
"防災ヘリポート","浅畑スポーツ広場","葵区諏訪10－１",-8599.44188881,-108486.57368500
"防災ヘリポート","三請埋立地","葵区諏訪11－１",-8542.01483045,-108245.08384300
"防災ヘリポート","清沢小学校","葵区相俣99－１",-23241.97471270,-107263.80276100
"防災ヘリポート","大川中学校","葵区日向876",-23614.31619560,-100660.13493300
"防災ヘリポート","横山スポーツ広場","葵区横山(左岸)",-12020.16728730,-96252.10334310
"防災ヘリポート","玉川中学校","葵区落合840",-15758.80564550,-97977.12087100
"防災ヘリポート","玉川小学校","葵区落合103－３",-15175.82773620,-98699.69196070
"防災ヘリポート","相渕スポーツ広場","葵区蕨野(左岸相渕地先)",-12730.97416200,-97033.38401620
"防災ヘリポート","井川中学校","葵区井川1561－３",-24080.67706000,-86606.17821850
"防災ヘリポート","井川ヘリポート","葵区井川(井川診療所横)",-23244.80246840,-86265.17751980
"防災ヘリポート","梅ヶ島小学校・中学校","葵区梅ヶ島(六郎木)1309－１",-14468.04088950,-83919.41841650
"防災ヘリポート","市営梅ヶ島キャンプ場","葵区梅ヶ島孫佐島地先",-15731.04207480,-82332.27396410
"防災ヘリポート","梅ヶ島北部スポーツ広場","葵区梅ヶ島(赤水の滝親水公園横)",-15457.54333060,-80651.73599510
"防災ヘリポート","上渡スポーツ広場","葵区渡(左岸ｹﾞｰﾄﾎﾞｰﾙ場横)",-12679.05544470,-89581.01996240
"防災ヘリポート","蒲原中学校","清水区蒲原49",10862.03132580,-97073.88612850
"防災ヘリポート","蒲原河川敷スポーツ広場","清水区蒲原(富士川右岸)",11675.41115050,-96797.23799020
"防災ヘリポート","清水中河内小学校","清水区中河内2583－１",-2678.27230720,-95740.42357590
"防災ヘリポート","清水和田島小学校","清水区和田島611",-1699.28048362,-98950.06822130
"防災ヘリポート","県立清水南高校グランド","清水区折戸三丁目２－１",1035.74089842,-112765.74159500
"防災ヘリポート","堤町緑地スポーツ広場","葵区堤町(左岸秋山公園)",-12775.32511500,-110840.78808500
"防災ヘリポート","辰起町緑地スポーツ広場","葵区辰起町(左岸安倍川大橋南)",-12696.36957490,-112503.03574800
"防災ヘリポート","山崎スポーツ広場","葵区山崎(右岸安西橋南)",-13136.98516560,-113337.06560400
"防災ヘリポート","清水桜が丘公園","清水区桜が丘町７",-2177.39869315,-109779.83472800
"防災ヘリポート","清水総合運動場","清水区清開二丁目１－１",-666.98808873,-111349.31038600
"防災ヘリポート","県草薙総合運動公園","駿河区聖一色(球技場内)",-6428.49961520,-112107.10395000
"防災ヘリポート","静岡競輪場駐車場","駿河区小鹿二丁目９",-7156.65459064,-114283.40849200
"防災ヘリポート","県静岡総合庁舎職員駐車場","駿河区豊田一丁目８",-8590.30826170,-114463.21087700
"防災ヘリポート","東新田緑地スポーツ広場","駿河区東新田安倍川(右岸)",-11365.18719050,-116692.25272100
"防災ヘリポート","向敷地スポーツ広場","駿河区向敷地安倍川(右岸)",-12926.90837650,-114906.52735700
"防災ヘリポート","田町緑地スポーツ広場","葵区田町(左岸安倍川緑地)",-12563.11954000,-114243.77686500
"防災ヘリポート","駿府城公園","葵区駿府城公園1-1",-10668.72698880,-113227.40724100
"防災ヘリポート","中野新田スポーツ広場","駿河区中野新田安倍川(左岸)",-10388.26225170,-116898.25978500
"防災ヘリ","秋山スポーツ広場",,-12700.35332120,-110508.21521000
"防災ヘリ","井川割田原グラウンド",,-23563.73636830,-82800.96037160
