自治体名,施設番号,施設名称,圏域・地域,設置根拠,設置目的,施設用途（種別）,正職員数,非常勤職員数,その他職員数,運営形態,指定管理期間(開始),指定管理期間(終了),管理運営費収入（全体）,管理運営費（手数料・使用料収入）,管理運営費（国県支出金）,管理運営費（その他収入）,管理運営費支出（全体）,管理運営費（人件費）,管理運営費（物件費）,管理運営費（指定管理料）,管理運営費（減価償却費）,管理運営費（その他支出）,補助金有無,工事請負費・修繕費,電気（使用量）,電気（料金）,電気（発電量）,上水（使用量）,上水（料金）,下水（使用量）,下水（料金）,工業用水（使用量）,工業用水（料金）,都市ガス（使用量）,都市ガス（料金）,プロパンガス（使用量）,プロパンガス（料金）,重油（使用量）,重油（料金）,灯油（使用量）,灯油（料金）,軽油（使用量）,軽油（料金）,主な利用者,利用人数（住民利用施設）,開館日数（住民利用施設),利用可能コマ数（貸館）,利用コマ数（貸館）,利用者駐車可能台数,年間駐車場利用台数,貸出可能蔵書数（図書館）,年間貸出冊数（図書館）,全戸数（居住施設）,入居戸数（居住施設）,定員数（児童施設）,利用児童数（児童施設）,学級数（学校施設）,生徒数（学校施設）,標高,津波浸水予測高（Ｌ１）,津波浸水予測高（Ｌ２）,避難施設指定の有無
静岡市,23,新蒲原駅前自転車等駐車場,,,,N-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,24,蒲原西小学校,,,,D-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,25,蒲原東小学校,,,,D-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,26,蒲原中学校,,,,D-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,30,蒲原図書館,,,,H-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,31,蒲原体育館,,,,I-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,32,蒲原西部コミュニティーセンター,,,,I-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,33,蒲原東部コミュニティーセンター,,,,I-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,34,大沢荘団地Ａ棟,,,,K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,36,大沢荘団地Ｂ棟,,,,K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,38,中浜荘団地Ａ棟,,,,K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,41,中浜荘団地Ｂ棟,,,,K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,43,みはま荘団地,,,,K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,45,新栄荘団地Ａ棟,,,,K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,47,新栄荘団地Ｂ棟,,,,K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,49,日の出荘団地,,,,K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,52,旧医師住宅　富士見荘,,,,K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,63,蒲原老人福祉センター,,,,F-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,64,蒲原保健福祉センター,,,,G-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,65,蒲原白銀児童館,,,,E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,68,旧五十嵐邸,,,,H-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,69,お休み処,,,,H-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,392,蒲原老人デイサービスセンター,,,,F-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,428,中吉田学校給食センター,,,,A-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,451,賤機都市山村交流センター,,,,L-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,454,ふれあい教室,,,,E-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,456,船越児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,457,竜南児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,458,長田西児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,459,富士見児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,460,高部東児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,461,千代田児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,462,中田児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,498,小島出張所,,,,A-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,774,クリエーター支援センター,,,,L-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,801,清水中央子育て支援センター,,,,E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,949,東源台第一児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,950,有度第一児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,951,川原児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,952,蒲原東児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,953,長田北児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,954,興津児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,955,辻児童クラブ,,,,E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,964,辰起町文書庫,,,,N-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,965,児童相談所,,,,E-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡市,1017,清水松風荘,,,,F-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
