自治体名,施設番号,施設名,所管課,会計区分,財産区分,主要建物,財産番号,棟名称,所在地,経度,緯度,建築年,建築価額,建築面積,延床面積,地上階数,地下階数,構造,耐震性能,複合化有無,建物所有形態,未利用施設面積,借受面積,賃借料
静岡市,23,新蒲原駅前自転車等駐車場,都市局都市計画部交通政策課,,,1,3853,駐輪場,清水区蒲原900-2,138.6143,35.12639,1993,,,"1,426.00",,,,,,,,,
静岡市,24,蒲原西小学校,教育委員会事務局教育部教育施設課,,,,3854,校舎,清水区蒲原新田二丁目25番1号,138.5956,35.1188,1966,,,"5,226.00",,,,,,,,,
静岡市,24,蒲原西小学校,教育委員会事務局教育部教育施設課,,,1,3855,校舎２,清水区蒲原新田二丁目25番1号,138.5956,35.1188,1967,,,"2,660.00",,,,,,,,,
静岡市,24,蒲原西小学校,教育委員会事務局教育部教育施設課,,,,3856,体育館,清水区蒲原新田二丁目25番1号,138.5956,35.1188,1969,,,847,,,,,,,,,
静岡市,25,蒲原東小学校,教育委員会事務局教育部教育施設課,,,1,3860,校舎,清水区蒲原666番地,138.6091,35.11776,1981,,,"4,125.00",,,,,,,,,
静岡市,25,蒲原東小学校,教育委員会事務局教育部教育施設課,,,,3863,給食室,清水区蒲原666番地,138.6091,35.11776,1981,,,134,,,,,,,,,
静岡市,25,蒲原東小学校,教育委員会事務局教育部教育施設課,,,,3864,体育館・地域・学校連携施設,清水区蒲原666番地,138.6091,35.11776,1987,,,"1,234.00",,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,,3871,校舎,清水区蒲原49番地,138.6143,35.12639,1955,,,"2,085.00",,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,,3879,プール付属室,清水区蒲原49番地,138.6143,35.12639,1988,,,132,,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,,3882,普通教室２,清水区蒲原49番地,138.6143,35.12639,1956,,,817,,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,,3884,校舎,清水区蒲原49番地,138.6143,35.12639,1977,,,413,,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,1,3885,校舎,清水区蒲原49番地,138.6143,35.12639,1977,,,"1,859.00",,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,,3886,技術科室,清水区蒲原49番地,138.6143,35.12639,1977,,,311,,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,,3887,校舎,清水区蒲原49番地,138.6143,35.12639,1977,,,796,,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,,3888,給食室,清水区蒲原49番地,138.6143,35.12639,1973,,,395,,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,,3889,給食棟２,清水区蒲原49番地,138.6143,35.12639,1990,,,110,,,,,,,,,
静岡市,26,蒲原中学校,教育委員会事務局教育部教育施設課,,,,3890,体育館,清水区蒲原49番地,138.6143,35.12639,1986,,,"2,299.00",,,,,,,,,
静岡市,30,静岡市立蒲原図書館,教育委員会事務局教育部中央図書館,,,1,3893,図書館,清水区蒲原新田一丁目22番22号,138.59494,35.11604,1989,,,"1,160.00",,,,,,,,,
静岡市,31,蒲原体育館,生活文化局文化スポーツ部スポーツ振興課,,,1,3894,体育館,清水区蒲原新田一丁目21番1号,138.59561,35.11609,1980,,,"1,086.00",,,,,,,,,
静岡市,32,蒲原西部コミュニティーセンター,生活文化局文化スポーツ部スポーツ振興課,,,1,3895,体育館他,清水区蒲原堰沢455-1,138.58197,35.11487,1985,,,591,,,,,,,,,
静岡市,33,蒲原東部コミュニティーセンター,生活文化局文化スポーツ部スポーツ振興課,,,1,3896,体育館他,清水区蒲原東4980-10,138.62411,35.12798,1993,,,995,,,,,,,,,
静岡市,34,大沢荘団地Ａ棟,都市局建築部住宅政策課,,,1,3897,公営住宅,清水区蒲原神沢1363番地の4,138.5732,35.11562,1978,,,"1,008.00",,,,,,,,,
静岡市,36,大沢荘団地Ｂ棟,都市局建築部住宅政策課,,,1,3899,公営住宅,清水区蒲原神沢1363番地の4,138.5732,35.11562,1981,,,"1,008.00",,,,,,,,,
静岡市,38,中浜荘団地Ａ棟,都市局建築部住宅政策課,,,1,3901,公営住宅,清水区蒲原中119番地の1,138.5843,35.11319,1969,,,388,,,,,,,,,
静岡市,41,中浜荘団地Ｂ棟,都市局建築部住宅政策課,,,1,3903,公営住宅,清水区蒲原中119番地の1,138.5843,35.11319,1969,,,388,,,,,,,,,
静岡市,43,みはま荘団地,都市局建築部住宅政策課,,,1,3905,公営住宅,清水区蒲原四丁目１番10号,138.60837,35.11627,1966,,,601,,,,,,,,,
静岡市,45,新栄荘団地Ａ棟,都市局建築部住宅政策課,,,1,3907,公営住宅,清水区蒲原60番地の2,138.6198,35.12494,1970,,,769,,,,,,,,,
静岡市,47,新栄荘団地Ｂ棟,都市局建築部住宅政策課,,,1,3909,公営住宅,清水区蒲原60番地の2,138.6198,35.12494,1972,,,743,,,,,,,,,
静岡市,49,日の出荘団地,都市局建築部住宅政策課,,,1,3911,公営住宅,清水区蒲原5373番地の1,138.62128,35.12271,1968,,,794,,,,,,,,,
静岡市,52,旧医師住宅　富士見荘,都市局建築部住宅政策課,,,1,3913,医師住宅,清水区蒲原137-2,138.61888,35.12613,1972,,,481,,,,,,,,,
静岡市,63,静岡市蒲原老人福祉センター,保健福祉局福祉部高齢者福祉課,,,1,3924,老人センター,清水区蒲原神沢1363-4,138.5732,35.11562,1978,,,704.18,,,,,,,,,
静岡市,64,静岡市蒲原保健福祉センター,保健福祉局保健衛生部清水健康支援課,,,1,3925,保健福祉センター,清水区蒲原721-4,138.6091,35.11776,1996,,,"1,426.00",,,,,,,,,
