所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
葵シティマンション,静岡市葵区葵町１１番地の１,葵シティマンション,5,0,非特定複合用途
マルハチ食品株式会社,静岡市葵区葵町１１番地の３,マルハチ食品株式会社,2,0,工場
前田金物,静岡市葵区葵町１３番地,前田金物,2,0,特定複合用途
株式会社玉屋静岡営業所,静岡市葵区葵町１番地の１,株式会社玉屋静岡営業所,4,0,事務所
株式会社海野兼太郎商店,静岡市葵区葵町２１番地,株式会社海野兼太郎商店,3,0,作業場
川連ビル,静岡市葵区葵町３７番地,川連ビル,3,0,事務所
株式会社　前六商店,静岡市葵区葵町４０番地,株式会社　前六商店,2,0,作業場
株式会社　丸六高田商店,静岡市葵区葵町４７番地,株式会社　丸六高田商店,3,0,非特定複合用途
株式会社セレクティー,静岡市葵区葵町４９番地,株式会社セレクティー,2,0,倉庫
株式会社覚丸文佐藤商店,静岡市葵区葵町５２番地,株式会社覚丸文佐藤商店,3,0,非特定複合用途
レオパレス葵,静岡市葵区葵町５７番地,レオパレス葵,2,0,共同住宅
株式会社和泉屋本店,静岡市葵区葵町５番地,株式会社和泉屋本店,3,0,非特定複合用途
株式会社　和泉屋本店　倉庫,静岡市葵区葵町７番地の１,株式会社　和泉屋本店　倉庫,3,1,倉庫
宗教法人　瑞光寺,静岡市葵区安西一丁目１００番地の１,宗教法人　瑞光寺,2,0,寺院
宗教法人然正院,静岡市葵区安西一丁目１０３番地,宗教法人然正院,2,0,寺院
ブックスランド安西店,静岡市葵区安西一丁目１０番地の６,ブックスランド安西店,2,0,(４)項  その他
㈱すかいらーく　ガスト静岡安西店,静岡市葵区安西一丁目１３番地,㈱すかいらーくガスト静岡安西店,1,0,飲食店
杉好株式会社,静岡市葵区安西一丁目１８番地,杉好株式会社,3,0,倉庫
ヨハン静岡キリスト教会,静岡市葵区安西一丁目２５番地,ヨハン静岡キリスト教会,4,0,教会
安西ハイツ,静岡市葵区安西一丁目２７番地の３,安西ハイツ,5,0,共同住宅
末廣鮨　安西店,静岡市葵区安西一丁目２番地の１２,末廣鮨　安西店,3,0,特定複合用途
海野ガレージ,静岡市葵区安西一丁目２番地の２４,海野ガレージ,1,0,駐車場
青島事務所ビル,静岡市葵区安西一丁目２番地の９,青島事務所ビル,3,0,事務所
株式会社　事務機器センター,静岡市葵区安西一丁目４０番地,株式会社事務機器センター,4,0,事務所
株式会社　事務機器センター,静岡市葵区安西一丁目４０番地,株式会社事務機器センター　機械室,1,0,事務所
