指定管理者制度導入施設一覧,,,,,,,,H26.4.1現在,,,,,,,,,,,
施設名,,施設数,担当課,指定管理者名,公募,指定期間,,,,,,,,,,,,,
,,,,,,始期,終期,期間,,,,,,,,,,,
1,女性会館,1,"男女参画・
市民協働推進課",ＮＰＯ法人　男女共同参画フォーラムしずおか,,H24.4.1,H29.3.31,5年,,,,,,,,,,,
2,番町市民活動センター,1,"男女参画・
市民協働推進課",ＮＰＯ法人　静岡県ボランティア協会,1,H25.4.1,H30.3.31,5年,,,,,,,,,,,
3,清水市民活動センター,1,"男女参画・
市民協働推進課",ＮＰＯ法人サポート・しみず,1,H25.4.1,H30.3.31,5年,,,,,,,,,,,
4,静岡市民文化会館,1,文化振興課,静岡市文化振興財団共同事業体,1,H23.4.1,H28.3.31,5年,,,,,,,,,,,
5,清水文化会館,1,文化振興課,清水文化事業サポート株式会社,,H24.8.1,H39.3.31,"14年
8月",,,,,,,,,,,
6,静岡音楽館,1,文化振興課,（公財）静岡市文化振興財団,,H23.4.1,H28.3.31,5年,,,,,,,,,,,
7,静岡科学館,1,文化振興課,（公財）静岡市文化振興財団,,H25.4.1,H30.3.31,5年,,,,,,,,,,,
8,静岡市美術館,1,文化振興課,（公財）静岡市文化振興財団,,H22.5.1,H27.3.31,"4年
11月",,,,,,,,,,,
9,生涯学習センター,11,生涯学習推進課,静岡市文化振興財団共同事業体,11,H26.4.1,H31.3.31,5年,,,,,,,,,,,
10,生涯学習交流館（建替に伴って、岡一時廃止）,20,生涯学習推進課,清水区生涯学習交流館運営協議会,,H24.4.1,H29.3.31,5年,,,,,,,,,,,
11,"中央体育館、南部体育館、長田体育館、
東部体育館、北部体育館、清水清見潟公園、
西ヶ谷総合運動場、清水総合運動場",8,スポーツ振興課,（公財）静岡市体育協会,,H23.4.1,H28.3.31,5年,,,,,,,,,,,
12,"有度山総合公園運動施設（２施設）、
城北運動場、清水長崎新田スポーツ広場",4,スポーツ振興課,（株）三幸,4,H23.4.1,H28.3.31,5年,,,,,,,,,,,
13,"清水ナショナルトレーニングセンター、
清水日本平運動公園球技場・庭球場、
清水蛇塚スポーツグラウンド、清水庵原球場",4,スポーツ振興課,（公財）静岡市まちづくり公社,4,H23.4.1,H28.3.31,5年,,,,,,,,,,,
14,ふれあい健康増進館ゆらら,1,スポーツ振興課,（公財）静岡市まちづくり公社,1,H23.4.1,H28.3.31,5年,,,,,,,,,,,
15,中央福祉センター,1,福祉総務課,(福)静岡市社会福祉協議会,1,H23.4.1,H28.3.31,5年,,,,,,,,,,,
16,清水社会福祉会館,1,福祉総務課,(福)静岡市社会福祉協議会,,H25.4.1,H28.3.31,3年,,,,,,,,,,,
17,地域福祉交流プラザ,1,福祉総務課,(福)静岡市社会福祉協議会,1,H22.4.1,H27.3.31,5年,,,,,,,,,,,
18,救護所,1,福祉総務課,(福)静岡市厚生事業協会,1,H25.4.1,H30.3.31,5年,,,,,,,,,,,
