年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.01,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,10918984.77,2122380558
27.01,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2553132.3,253682768
27.01,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,270988.21,80725565
27.01,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,15.7,21406
27.01,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,2143.06,1804348
27.01,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,90,271733
27.01,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,5477.66,1963494
27.01,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,246.24,497773
27.01,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,930854.81,120523945
27.01,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,2439.56,2696316
27.01,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,18688.05,5989594
27.01,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,26633.32,12328536
27.01,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,819298.27,110566732
27.01,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,1,1620
27.01,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,332654.75,27889732
27.01,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,3794.55,2871002
27.01,10000,ｾｲｶｺﾞｳｹｲ,16,ﾄ ﾔ ﾏ,27.3,46548
27.01,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,16923.62,7716740
27.01,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,120390.2,59368895
27.01,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,18972.1,2961433
