年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.10.,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,7944183.73,1683407022
27.10.,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2979001.71,330887331
27.10.,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,325464.39,104467835
27.10.,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,17793.6,3885057
27.10.,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,1225.55,731682
27.10.,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,187.5,277031
27.10.,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,146891.1,38679999
27.10.,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,11885,3656351
27.10.,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,671090.98,162832060
27.10.,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,21354.05,4757389
27.10.,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,417851.38,65010856
27.10.,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,38782.96,15103389
27.10.,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,342688.12,62300640
27.10.,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,122.2,46742
27.10.,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,27360.3,3939859
27.10.,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,8356,6089543
27.10.,10000,ｾｲｶｺﾞｳｹｲ,17,ｲ ｼ ｶ ﾜ,33.2,78948
27.10.,10000,ｾｲｶｺﾞｳｹｲ,18,ﾌ ｸ ｲ,20,2376
27.10.,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,143612.65,46832233
27.10.,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,1315477.02,331635861
27.10.,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,18597.44,3217342
27.10.,10000,ｾｲｶｺﾞｳｹｲ,22,ｼ ｽﾞ ｵ ｶ,567810.05,233273442
27.10.,10000,ｾｲｶｺﾞｳｹｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,67518.29,27428482
27.10.,10000,ｾｲｶｺﾞｳｹｲ,23,ｱ ｲ ﾁ,105157.82,34162228
27.10.,10000,ｾｲｶｺﾞｳｹｲ,24,ﾐ ｴ,169807.52,33295636
27.10.,10000,ｾｲｶｺﾞｳｹｲ,26,ｷ ﾖ ｳ ﾄ,759.45,557581
27.10.,10000,ｾｲｶｺﾞｳｹｲ,28,ﾋ ﾖ ｳ ｺﾞ,2880,405756
27.10.,10000,ｾｲｶｺﾞｳｹｲ,29,ﾅ ﾗ,29667.5,5352048
27.10.,10000,ｾｲｶｺﾞｳｹｲ,30,ﾜ ｶ ﾔ ﾏ,31156.1,6730300
27.10.,10000,ｾｲｶｺﾞｳｹｲ,33,ｵ ｶ ﾔ ﾏ,103,101088
27.10.,10000,ｾｲｶｺﾞｳｹｲ,34,ﾋ ﾛ ｼ ﾏ,448.8,501228
27.10.,10000,ｾｲｶｺﾞｳｹｲ,36,ﾄ ｸ ｼ ﾏ,891.77,511487
27.10.,10000,ｾｲｶｺﾞｳｹｲ,37,ｶ ｶﾞ ﾜ,547,450360
27.10.,10000,ｾｲｶｺﾞｳｹｲ,38,ｴ ﾋ ﾒ,4060,1966572
