年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.02,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,10898928.54,2122640763
27.02,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2635666.9,274900042
27.02,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,321515.15,101003587
27.02,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,8.5,28037
27.02,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,1069.65,754416
27.02,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,340.45,842946
27.02,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,2218.6,1525143
27.02,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,363.8,603126
27.02,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,693404.68,106169403
27.02,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,5938.06,4209509
27.02,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,21145.3,7523732
27.02,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,30879.44,12699067
27.02,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,651647.83,96237393
27.02,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,491,41310
27.02,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,339633,28112819
27.02,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,4562.9,2892487
27.02,10000,ｾｲｶｺﾞｳｹｲ,16,ﾄ ﾔ ﾏ,13.8,49788
27.02,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,4660.9,1950791
27.02,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,106329.4,38513373
27.02,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,18506.56,3027903
27.02,10000,ｾｲｶｺﾞｳｹｲ,22,ｼ ｽﾞ ｵ ｶ,2384992.77,705875727
27.02,10000,ｾｲｶｺﾞｳｹｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,76039.26,35798440
27.02,10000,ｾｲｶｺﾞｳｹｲ,23,ｱ ｲ ﾁ,1028563.29,125586099
27.02,10000,ｾｲｶｺﾞｳｹｲ,24,ﾐ ｴ,1287.18,1243408
27.02,10000,ｾｲｶｺﾞｳｹｲ,26,ｷ ﾖ ｳ ﾄ,108.55,173878
27.02,10000,ｾｲｶｺﾞｳｹｲ,28,ﾋ ﾖ ｳ ｺﾞ,36612,3030502
27.02,10000,ｾｲｶｺﾞｳｹｲ,29,ﾅ ﾗ,1077.5,286308
27.02,10000,ｾｲｶｺﾞｳｹｲ,30,ﾜ ｶ ﾔ ﾏ,20003,3695620
27.02,10000,ｾｲｶｺﾞｳｹｲ,32,ｼ ﾏ ﾈ,15,26568
27.02,10000,ｾｲｶｺﾞｳｹｲ,33,ｵ ｶ ﾔ ﾏ,19,57996
27.02,10000,ｾｲｶｺﾞｳｹｲ,34,ﾋ ﾛ ｼ ﾏ,80,30240
27.02,10000,ｾｲｶｺﾞｳｹｲ,36,ﾄ ｸ ｼ ﾏ,642.24,646261
27.02,10000,ｾｲｶｺﾞｳｹｲ,37,ｶ ｶﾞ ﾜ,683.9,717811
27.02,10000,ｾｲｶｺﾞｳｹｲ,38,ｴ ﾋ ﾒ,13400.4,4146233
27.02,10000,ｾｲｶｺﾞｳｹｲ,39,ｺ ｳ ﾁ,25371,20688815
27.02,10000,ｾｲｶｺﾞｳｹｲ,40,ﾌ ｸ ｵ ｶ,2271.75,1919068
27.02,10000,ｾｲｶｺﾞｳｹｲ,41,ｻ ｶﾞ,3246.32,4954500
27.02,10000,ｾｲｶｺﾞｳｹｲ,42,ﾅ ｶﾞ ｻ ｷ,12849.5,2366820
27.02,10000,ｾｲｶｺﾞｳｹｲ,43,ｸ ﾏ ﾓ ﾄ,149143.28,74202829
27.02,10000,ｾｲｶｺﾞｳｹｲ,44,ｵ ｵ ｲ ﾀ,106.1,56127
27.02,10000,ｾｲｶｺﾞｳｹｲ,45,ﾐ ﾔ ｻﾞ ｷ,114623.15,60251698
27.02,10000,ｾｲｶｺﾞｳｹｲ,46,ｶ ｺﾞ ｼ ﾏ,142880.94,35842087
27.02,10000,ｾｲｶｺﾞｳｹｲ,47,ｵ ｷ ﾅ ﾜ,1415.15,843717
27.02,10000,ｾｲｶｺﾞｳｹｲ,150,ﾕ ﾆ ﾕ ｳ,2045101.34,359115139
27.02,30000,ﾔｻｲ,0,*ｺﾞｳｹｲ*,7936355.41,1379335269
27.02,30000,ﾔｻｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2635459.9,274809646
27.02,30000,ﾔｻｲ,2,ｱ ｵ ﾓ ﾘ,45820.85,22473662
27.02,30000,ﾔｻｲ,3,ｲ ﾜ ﾃ,8.5,28037
27.02,30000,ﾔｻｲ,4,ﾐ ﾔ ｷﾞ,1069.65,754416
27.02,30000,ﾔｻｲ,5,ｱ ｷ ﾀ,340.45,842946
27.02,30000,ﾔｻｲ,6,ﾔ ﾏ ｶﾞ ﾀ,718.6,1193907
27.02,30000,ﾔｻｲ,7,ﾌ ｸ ｼ ﾏ,83,235656
27.02,30000,ﾔｻｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,692480.64,105130551
27.02,30000,ﾔｻｲ,9,ﾄ ﾁ ｷﾞ,5716.26,3835375
27.02,30000,ﾔｻｲ,10,ｸﾞ ﾝ ﾏ,20746.6,7401206
27.02,30000,ﾔｻｲ,11,ｻ ｲ ﾀ ﾏ,30795.44,12660704
27.02,30000,ﾔｻｲ,12,ﾁ ﾊﾞ,651647.83,96237393
27.02,30000,ﾔｻｲ,13,ﾄ ｳ ｷ ﾖ ｳ,491,41310
27.02,30000,ﾔｻｲ,14,ｶ ﾅ ｶﾞ ﾜ,339633,28112819
27.02,30000,ﾔｻｲ,15,ﾆ ｲ ｶﾞ ﾀ,4532.3,2867647
27.02,30000,ﾔｻｲ,19,ﾔ ﾏ ﾅ ｼ,3.3,4631
27.02,30000,ﾔｻｲ,20,ﾅ ｶﾞ ﾉ,105923.4,37826817
27.02,30000,ﾔｻｲ,21,ｷﾞ ﾌ,255.36,128588
27.02,30000,ﾔｻｲ,22,ｼ ｽﾞ ｵ ｶ,1757693.82,408866436
27.02,30000,ﾔｻｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,27520.02,14878588
27.02,30000,ﾔｻｲ,23,ｱ ｲ ﾁ,1025913.79,124886532
27.02,30000,ﾔｻｲ,24,ﾐ ｴ,1287.18,1243408
27.02,30000,ﾔｻｲ,26,ｷ ﾖ ｳ ﾄ,108.55,173878
27.02,30000,ﾔｻｲ,28,ﾋ ﾖ ｳ ｺﾞ,36612,3030502
27.02,30000,ﾔｻｲ,29,ﾅ ﾗ,110,111240
27.02,30000,ﾔｻｲ,30,ﾜ ｶ ﾔ ﾏ,2,7776
27.02,30000,ﾔｻｲ,32,ｼ ﾏ ﾈ,15,26568
27.02,30000,ﾔｻｲ,33,ｵ ｶ ﾔ ﾏ,19,57996
27.02,30000,ﾔｻｲ,36,ﾄ ｸ ｼ ﾏ,642.24,646261
27.02,30000,ﾔｻｲ,37,ｶ ｶﾞ ﾜ,683.9,717811
27.02,30000,ﾔｻｲ,38,ｴ ﾋ ﾒ,3750,1501740
27.02,30000,ﾔｻｲ,39,ｺ ｳ ﾁ,24951,20513207
27.02,30000,ﾔｻｲ,40,ﾌ ｸ ｵ ｶ,1902.15,1277310
27.02,30000,ﾔｻｲ,41,ｻ ｶﾞ,3167,4830030
