年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.03,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,11138040.83,2204068357
27.03,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2866635.51,317092075
27.03,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,350496.92,107221969
27.03,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,1079.5,748473
27.03,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,1025.75,659743
27.03,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,383.15,1071209
27.03,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,973.75,1872709
27.03,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,71,234036
27.03,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,517509.85,131782881
27.03,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,10933.68,5530377
27.03,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,87997.84,36541929
27.03,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,31760.78,14205941
27.03,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,581816.95,90696200
27.03,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,34.2,41882
27.03,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,389316.7,27545444
27.03,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,3488,2157494
27.03,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,3,4210
27.03,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,109395.05,32891979
27.03,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,23770.76,4333507
27.03,10000,ｾｲｶｺﾞｳｹｲ,22,ｼ ｽﾞ ｵ ｶ,2087566.93,634157618
27.03,10000,ｾｲｶｺﾞｳｹｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,98761.98,41010254
27.03,10000,ｾｲｶｺﾞｳｹｲ,23,ｱ ｲ ﾁ,838506.6,96463243
27.03,10000,ｾｲｶｺﾞｳｹｲ,24,ﾐ ｴ,11426.86,3900704
27.03,10000,ｾｲｶｺﾞｳｹｲ,26,ｷ ﾖ ｳ ﾄ,104.25,139040
27.03,10000,ｾｲｶｺﾞｳｹｲ,28,ﾋ ﾖ ｳ ｺﾞ,113899,12245029
27.03,10000,ｾｲｶｺﾞｳｹｲ,29,ﾅ ﾗ,80,75600
27.03,10000,ｾｲｶｺﾞｳｹｲ,30,ﾜ ｶ ﾔ ﾏ,16212,2734173
27.03,10000,ｾｲｶｺﾞｳｹｲ,32,ｼ ﾏ ﾈ,3,5184
27.03,10000,ｾｲｶｺﾞｳｹｲ,33,ｵ ｶ ﾔ ﾏ,23.55,83484
27.03,10000,ｾｲｶｺﾞｳｹｲ,36,ﾄ ｸ ｼ ﾏ,158006.04,22635137
27.03,10000,ｾｲｶｺﾞｳｹｲ,37,ｶ ｶﾞ ﾜ,301.3,365213
27.03,10000,ｾｲｶｺﾞｳｹｲ,38,ｴ ﾋ ﾒ,6033.04,1968147
27.03,10000,ｾｲｶｺﾞｳｹｲ,39,ｺ ｳ ﾁ,23304.1,20133166
27.03,10000,ｾｲｶｺﾞｳｹｲ,40,ﾌ ｸ ｵ ｶ,2842,2203518
27.03,10000,ｾｲｶｺﾞｳｹｲ,41,ｻ ｶﾞ,19534.86,23106967
27.03,10000,ｾｲｶｺﾞｳｹｲ,42,ﾅ ｶﾞ ｻ ｷ,13573.12,2162383
27.03,10000,ｾｲｶｺﾞｳｹｲ,43,ｸ ﾏ ﾓ ﾄ,153154.02,73191164
27.03,10000,ｾｲｶｺﾞｳｹｲ,44,ｵ ｵ ｲ ﾀ,1120,242838
