年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.04,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,9782490.77,2059357346
27.04,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2377704.4,264845021
27.04,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,272683.55,96432246
27.04,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,1296.35,990560
27.04,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,891.7,604987
27.04,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,215.65,515008
27.04,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,1141.43,2584516
27.04,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,5.5,28350
27.04,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,507544.76,150260985
27.04,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,9223.91,4208661
27.04,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,73884.39,26668742
27.04,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,50626.47,24227857
27.04,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,425936.61,82982414
27.04,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,351.95,298583
27.04,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,530866.05,66844185
27.04,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,4509.3,2535764
27.04,10000,ｾｲｶｺﾞｳｹｲ,16,ﾄ ﾔ ﾏ,180,62640
27.04,10000,ｾｲｶｺﾞｳｹｲ,18,ﾌ ｸ ｲ,0.15,1037
27.04,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,614,175671
27.04,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,72610.1,32838510
27.04,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,21919.78,3554022
27.04,10000,ｾｲｶｺﾞｳｹｲ,22,ｼ ｽﾞ ｵ ｶ,1215619.3,439923382
27.04,10000,ｾｲｶｺﾞｳｹｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,87888.87,46785529
27.04,10000,ｾｲｶｺﾞｳｹｲ,23,ｱ ｲ ﾁ,450217.29,82922204
27.04,10000,ｾｲｶｺﾞｳｹｲ,24,ﾐ ｴ,14178.2,6334953
27.04,10000,ｾｲｶｺﾞｳｹｲ,26,ｷ ﾖ ｳ ﾄ,184.3,181431
27.04,10000,ｾｲｶｺﾞｳｹｲ,27,ｵ ｵ ｻ ｶ,818,115290
27.04,10000,ｾｲｶｺﾞｳｹｲ,28,ﾋ ﾖ ｳ ｺﾞ,8457,1496837
27.04,10000,ｾｲｶｺﾞｳｹｲ,29,ﾅ ﾗ,75.7,97524
27.04,10000,ｾｲｶｺﾞｳｹｲ,30,ﾜ ｶ ﾔ ﾏ,132,32789
27.04,10000,ｾｲｶｺﾞｳｹｲ,31,ﾄ ﾂ ﾄ ﾘ,1054,391446
27.04,10000,ｾｲｶｺﾞｳｹｲ,33,ｵ ｶ ﾔ ﾏ,47.6,98712
27.04,10000,ｾｲｶｺﾞｳｹｲ,34,ﾋ ﾛ ｼ ﾏ,31,82080
27.04,10000,ｾｲｶｺﾞｳｹｲ,36,ﾄ ｸ ｼ ﾏ,459325.7,64860512
27.04,10000,ｾｲｶｺﾞｳｹｲ,37,ｶ ｶﾞ ﾜ,5945.4,832735
27.04,10000,ｾｲｶｺﾞｳｹｲ,38,ｴ ﾋ ﾒ,9929.25,3531001
27.04,10000,ｾｲｶｺﾞｳｹｲ,39,ｺ ｳ ﾁ,28697.5,23112001
27.04,10000,ｾｲｶｺﾞｳｹｲ,40,ﾌ ｸ ｵ ｶ,1986.15,1462963
27.04,10000,ｾｲｶｺﾞｳｹｲ,41,ｻ ｶﾞ,357526.35,56123777
27.04,10000,ｾｲｶｺﾞｳｹｲ,42,ﾅ ｶﾞ ｻ ｷ,23520.35,3831647
27.04,10000,ｾｲｶｺﾞｳｹｲ,43,ｸ ﾏ ﾓ ﾄ,222263.7,88817038
27.04,10000,ｾｲｶｺﾞｳｹｲ,44,ｵ ｵ ｲ ﾀ,2387.05,462251
27.04,10000,ｾｲｶｺﾞｳｹｲ,45,ﾐ ﾔ ｻﾞ ｷ,48759.85,23901339
27.04,10000,ｾｲｶｺﾞｳｹｲ,46,ｶ ｺﾞ ｼ ﾏ,137664.75,50137483
27.04,10000,ｾｲｶｺﾞｳｹｲ,47,ｵ ｷ ﾅ ﾜ,1091.12,520464
27.04,10000,ｾｲｶｺﾞｳｹｲ,150,ﾕ ﾆ ﾕ ｳ,2352484.29,402642199
27.04,30000,ﾔｻｲ,0,*ｺﾞｳｹｲ*,6907643.73,1410504911
27.04,30000,ﾔｻｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2377497.4,264744905
27.04,30000,ﾔｻｲ,2,ｱ ｵ ﾓ ﾘ,33679.1,17285101
27.04,30000,ﾔｻｲ,3,ｲ ﾜ ﾃ,1296.35,990560
27.04,30000,ﾔｻｲ,4,ﾐ ﾔ ｷﾞ,891.7,604987
27.04,30000,ﾔｻｲ,5,ｱ ｷ ﾀ,215.65,515008
27.04,30000,ﾔｻｲ,6,ﾔ ﾏ ｶﾞ ﾀ,851.13,1161767
27.04,30000,ﾔｻｲ,7,ﾌ ｸ ｼ ﾏ,5.5,28350
27.04,30000,ﾔｻｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,504932.16,149051933
27.04,30000,ﾔｻｲ,9,ﾄ ﾁ ｷﾞ,9193.11,4155914
27.04,30000,ﾔｻｲ,10,ｸﾞ ﾝ ﾏ,73392.09,26515490
27.04,30000,ﾔｻｲ,11,ｻ ｲ ﾀ ﾏ,50600.47,24213341
27.04,30000,ﾔｻｲ,12,ﾁ ﾊﾞ,425936.61,82982414
27.04,30000,ﾔｻｲ,13,ﾄ ｳ ｷ ﾖ ｳ,351.95,298583
27.04,30000,ﾔｻｲ,14,ｶ ﾅ ｶﾞ ﾜ,530553.05,66737049
27.04,30000,ﾔｻｲ,15,ﾆ ｲ ｶﾞ ﾀ,4480.4,2512058
27.04,30000,ﾔｻｲ,16,ﾄ ﾔ ﾏ,180,62640
27.04,30000,ﾔｻｲ,18,ﾌ ｸ ｲ,0.15,1037
