年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.05,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,7120089.62,1779628665
27.05,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,49051.62,15569202
27.05,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,169428.65,71306458
27.05,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,1680.6,780408
27.05,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,302.65,299207
27.05,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,122.7,502179
27.05,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,16452.52,14974852
27.05,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,2484,1618974
27.05,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,602187.41,146331772
27.05,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,10265.55,2744733
27.05,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,106023.35,25532473
27.05,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,85327.08,27019330
27.05,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,484124.32,92790430
27.05,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,76.8,71615
27.05,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,457668.75,68222674
27.05,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,5304.35,2536304
27.05,10000,ｾｲｶｺﾞｳｹｲ,16,ﾄ ﾔ ﾏ,6,4212
27.05,10000,ｾｲｶｺﾞｳｹｲ,18,ﾌ ｸ ｲ,150,72144
27.05,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,18096.7,9911546
27.05,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,116911.76,47283468
27.05,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,21897.46,3529994
27.05,10000,ｾｲｶｺﾞｳｹｲ,22,ｼ ｽﾞ ｵ ｶ,1043664.74,375398489
27.05,10000,ｾｲｶｺﾞｳｹｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,72772.24,33188345
27.05,10000,ｾｲｶｺﾞｳｹｲ,23,ｱ ｲ ﾁ,284160.87,73660004
27.05,10000,ｾｲｶｺﾞｳｹｲ,24,ﾐ ｴ,2302.45,2216740
27.05,10000,ｾｲｶｺﾞｳｹｲ,26,ｷ ﾖ ｳ ﾄ,150.75,145304
27.05,10000,ｾｲｶｺﾞｳｹｲ,27,ｵ ｵ ｻ ｶ,12,15876
27.05,10000,ｾｲｶｺﾞｳｹｲ,28,ﾋ ﾖ ｳ ｺﾞ,26197,5095602
27.05,10000,ｾｲｶｺﾞｳｹｲ,29,ﾅ ﾗ,520.5,319788
27.05,10000,ｾｲｶｺﾞｳｹｲ,30,ﾜ ｶ ﾔ ﾏ,511,226195
27.05,10000,ｾｲｶｺﾞｳｹｲ,31,ﾄ ﾂ ﾄ ﾘ,2058,1555891
27.05,10000,ｾｲｶｺﾞｳｹｲ,32,ｼ ﾏ ﾈ,1365.2,2491604
27.05,10000,ｾｲｶｺﾞｳｹｲ,33,ｵ ｶ ﾔ ﾏ,97.1,160574
27.05,10000,ｾｲｶｺﾞｳｹｲ,34,ﾋ ﾛ ｼ ﾏ,200,374760
27.05,10000,ｾｲｶｺﾞｳｹｲ,36,ﾄ ｸ ｼ ﾏ,448969.14,63224647
27.05,10000,ｾｲｶｺﾞｳｹｲ,37,ｶ ｶﾞ ﾜ,107015.5,15221952
27.05,10000,ｾｲｶｺﾞｳｹｲ,38,ｴ ﾋ ﾒ,5624.1,1525500
27.05,10000,ｾｲｶｺﾞｳｹｲ,39,ｺ ｳ ﾁ,23773.4,20154342
27.05,10000,ｾｲｶｺﾞｳｹｲ,40,ﾌ ｸ ｵ ｶ,1265.25,901152
27.05,10000,ｾｲｶｺﾞｳｹｲ,41,ｻ ｶﾞ,415039.5,58252824
27.05,10000,ｾｲｶｺﾞｳｹｲ,42,ﾅ ｶﾞ ｻ ｷ,81877.8,22429399
27.05,10000,ｾｲｶｺﾞｳｹｲ,43,ｸ ﾏ ﾓ ﾄ,363377.5,131621402
27.05,10000,ｾｲｶｺﾞｳｹｲ,44,ｵ ｵ ｲ ﾀ,719.76,352869
27.05,10000,ｾｲｶｺﾞｳｹｲ,45,ﾐ ﾔ ｻﾞ ｷ,35607.5,19021852
27.05,10000,ｾｲｶｺﾞｳｹｲ,46,ｶ ｺﾞ ｼ ﾏ,165153.2,48508776
27.05,10000,ｾｲｶｺﾞｳｹｲ,47,ｵ ｷ ﾅ ﾜ,3442.71,882047
27.05,10000,ｾｲｶｺﾞｳｹｲ,150,ﾕ ﾆ ﾕ ｳ,1886650.14,371580756
27.05,30000,ﾔｻｲ,0,*ｺﾞｳｹｲ*,4867778.55,1232847105
27.05,30000,ﾔｻｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,49039.62,15558834
27.05,30000,ﾔｻｲ,2,ｱ ｵ ﾓ ﾘ,54976.55,21766585
27.05,30000,ﾔｻｲ,3,ｲ ﾜ ﾃ,1680.6,780408
27.05,30000,ﾔｻｲ,4,ﾐ ﾔ ｷﾞ,302.65,299207
27.05,30000,ﾔｻｲ,5,ｱ ｷ ﾀ,122.7,502179
27.05,30000,ﾔｻｲ,6,ﾔ ﾏ ｶﾞ ﾀ,14051.12,4167072
27.05,30000,ﾔｻｲ,7,ﾌ ｸ ｼ ﾏ,2464,1604934
27.05,30000,ﾔｻｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,585482.91,139964595
27.05,30000,ﾔｻｲ,9,ﾄ ﾁ ｷﾞ,10265.55,2744733
27.05,30000,ﾔｻｲ,10,ｸﾞ ﾝ ﾏ,105611.85,25409407
27.05,30000,ﾔｻｲ,11,ｻ ｲ ﾀ ﾏ,85105.08,26945607
27.05,30000,ﾔｻｲ,12,ﾁ ﾊﾞ,484124.32,92790430
27.05,30000,ﾔｻｲ,13,ﾄ ｳ ｷ ﾖ ｳ,76.8,71615
27.05,30000,ﾔｻｲ,14,ｶ ﾅ ｶﾞ ﾜ,457474.55,68086853
27.05,30000,ﾔｻｲ,15,ﾆ ｲ ｶﾞ ﾀ,5273.75,2511140
27.05,30000,ﾔｻｲ,16,ﾄ ﾔ ﾏ,6,4212
27.05,30000,ﾔｻｲ,18,ﾌ ｸ ｲ,150,72144
27.05,30000,ﾔｻｲ,19,ﾔ ﾏ ﾅ ｼ,16068.3,5696524
27.05,30000,ﾔｻｲ,20,ﾅ ｶﾞ ﾉ,116804.36,47015304
27.05,30000,ﾔｻｲ,21,ｷﾞ ﾌ,1031.96,314545
27.05,30000,ﾔｻｲ,22,ｼ ｽﾞ ｵ ｶ,882356.19,299218854
27.05,30000,ﾔｻｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,42630.16,24619962
27.05,30000,ﾔｻｲ,23,ｱ ｲ ﾁ,279883.36,71898654
27.05,30000,ﾔｻｲ,24,ﾐ ｴ,2142.45,2161876
27.05,30000,ﾔｻｲ,26,ｷ ﾖ ｳ ﾄ,150.75,145304
