年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.06,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,7182797.33,1755558187
27.06,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,38449.38,21048981
27.06,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,392439.35,91002655
27.06,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,2818.95,1470177
27.06,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,587.7,468226
27.06,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,218.3,572497
27.06,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,95189.3,53847920
27.06,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,8917.3,3002033
27.06,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,875331.83,155734282
27.06,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,12667.4,1934570
27.06,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,126725.2,25207306
27.06,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,45757.55,12655577
27.06,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,545574.64,110017542
27.06,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,59.53,14277
27.06,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,69948.85,4953276
27.06,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,12304.9,4847850
27.06,10000,ｾｲｶｺﾞｳｹｲ,16,ﾄ ﾔ ﾏ,30,21060
27.06,10000,ｾｲｶｺﾞｳｹｲ,17,ｲ ｼ ｶ ﾜ,240,142560
27.06,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,190826.36,73107757
27.06,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,433649.57,89832318
27.06,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,22888.02,3333798
27.06,10000,ｾｲｶｺﾞｳｹｲ,22,ｼ ｽﾞ ｵ ｶ,1024713.71,353316851
27.06,10000,ｾｲｶｺﾞｳｹｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,82777.16,33353923
27.06,10000,ｾｲｶｺﾞｳｹｲ,23,ｱ ｲ ﾁ,294820.65,58514261
27.06,10000,ｾｲｶｺﾞｳｹｲ,24,ﾐ ｴ,1705.82,1699688
27.06,10000,ｾｲｶｺﾞｳｹｲ,26,ｷ ﾖ ｳ ﾄ,124.3,116187
27.06,10000,ｾｲｶｺﾞｳｹｲ,27,ｵ ｵ ｻ ｶ,7507.2,8218930
27.06,10000,ｾｲｶｺﾞｳｹｲ,28,ﾋ ﾖ ｳ ｺﾞ,21270,3603258
27.06,10000,ｾｲｶｺﾞｳｹｲ,29,ﾅ ﾗ,425.5,249858
27.06,10000,ｾｲｶｺﾞｳｹｲ,30,ﾜ ｶ ﾔ ﾏ,26347.4,9876655
27.06,10000,ｾｲｶｺﾞｳｹｲ,31,ﾄ ﾂ ﾄ ﾘ,3082,2360016
27.06,10000,ｾｲｶｺﾞｳｹｲ,32,ｼ ﾏ ﾈ,3280,4159188
27.06,10000,ｾｲｶｺﾞｳｹｲ,33,ｵ ｶ ﾔ ﾏ,261.55,256673
27.06,10000,ｾｲｶｺﾞｳｹｲ,36,ﾄ ｸ ｼ ﾏ,27237.62,4920997
27.06,10000,ｾｲｶｺﾞｳｹｲ,37,ｶ ｶﾞ ﾜ,267001.5,39277872
27.06,10000,ｾｲｶｺﾞｳｹｲ,38,ｴ ﾋ ﾒ,7036.06,2451244
27.06,10000,ｾｲｶｺﾞｳｹｲ,39,ｺ ｳ ﾁ,28795,19750780
27.06,10000,ｾｲｶｺﾞｳｹｲ,40,ﾌ ｸ ｵ ｶ,586,483948
27.06,10000,ｾｲｶｺﾞｳｹｲ,41,ｻ ｶﾞ,263747,51475596
27.06,10000,ｾｲｶｺﾞｳｹｲ,42,ﾅ ｶﾞ ｻ ｷ,68945,18942876
27.06,10000,ｾｲｶｺﾞｳｹｲ,43,ｸ ﾏ ﾓ ﾄ,263198.25,87805415
27.06,10000,ｾｲｶｺﾞｳｹｲ,44,ｵ ｵ ｲ ﾀ,160.31,92134
27.06,10000,ｾｲｶｺﾞｳｹｲ,45,ﾐ ﾔ ｻﾞ ｷ,12768.4,7483481
27.06,10000,ｾｲｶｺﾞｳｹｲ,46,ｶ ｺﾞ ｼ ﾏ,67594.75,27739161
27.06,10000,ｾｲｶｺﾞｳｹｲ,47,ｵ ｷ ﾅ ﾜ,395.65,225028
27.06,10000,ｾｲｶｺﾞｳｹｲ,150,ﾕ ﾆ ﾕ ｳ,1834392.37,365969505
27.06,30000,ﾔｻｲ,0,*ｺﾞｳｹｲ*,4707872.31,1142658811
27.06,30000,ﾔｻｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,38077.98,20613081
27.06,30000,ﾔｻｲ,2,ｱ ｵ ﾓ ﾘ,307528.35,51153775
27.06,30000,ﾔｻｲ,3,ｲ ﾜ ﾃ,2818.95,1470177
27.06,30000,ﾔｻｲ,4,ﾐ ﾔ ｷﾞ,587.7,468226
27.06,30000,ﾔｻｲ,5,ｱ ｷ ﾀ,218.3,572497
27.06,30000,ﾔｻｲ,6,ﾔ ﾏ ｶﾞ ﾀ,75042.55,20578968
27.06,30000,ﾔｻｲ,7,ﾌ ｸ ｼ ﾏ,8897.3,2987993
27.06,30000,ﾔｻｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,739886.83,127152768
27.06,30000,ﾔｻｲ,9,ﾄ ﾁ ｷﾞ,12667.4,1934570
