年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.07,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,7093211.72,1732154182
27.07,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,488003.13,87606635
27.07,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,516419,131476550
27.07,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,9470,5887307
27.07,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,558.9,494140
27.07,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,50636.95,9778772
27.07,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,138970.4,42437616
27.07,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,33320,10949624
27.07,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,321257.47,92455079
27.07,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,10216.5,3801074
27.07,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,787234.5,90804252
27.07,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,753.94,382544
27.07,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,347252.46,99751771
27.07,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,16.42,22443
27.07,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,19372.35,2768417
27.07,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,33942.95,5300575
27.07,10000,ｾｲｶｺﾞｳｹｲ,16,ﾄ ﾔ ﾏ,1820,508356
27.07,10000,ｾｲｶｺﾞｳｹｲ,17,ｲ ｼ ｶ ﾜ,7170,808326
27.07,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,231011.87,113958534
27.07,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,947314.7,162686674
27.07,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,20952.74,3488258
27.07,10000,ｾｲｶｺﾞｳｹｲ,22,ｼ ｽﾞ ｵ ｶ,911848.3,328514138
27.07,10000,ｾｲｶｺﾞｳｹｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,53172.35,28260668
27.07,10000,ｾｲｶｺﾞｳｹｲ,23,ｱ ｲ ﾁ,167224.86,43535075
27.07,10000,ｾｲｶｺﾞｳｹｲ,24,ﾐ ｴ,990.12,966280
27.07,10000,ｾｲｶｺﾞｳｹｲ,26,ｷ ﾖ ｳ ﾄ,137.15,159699
27.07,10000,ｾｲｶｺﾞｳｹｲ,27,ｵ ｵ ｻ ｶ,4861.62,4371366
27.07,10000,ｾｲｶｺﾞｳｹｲ,28,ﾋ ﾖ ｳ ｺﾞ,103560,19248408
27.07,10000,ｾｲｶｺﾞｳｹｲ,29,ﾅ ﾗ,373,244404
27.07,10000,ｾｲｶｺﾞｳｹｲ,30,ﾜ ｶ ﾔ ﾏ,414,192564
27.07,10000,ｾｲｶｺﾞｳｹｲ,32,ｼ ﾏ ﾈ,1046.02,1094364
27.07,10000,ｾｲｶｺﾞｳｹｲ,33,ｵ ｶ ﾔ ﾏ,403.2,618926
27.07,10000,ｾｲｶｺﾞｳｹｲ,36,ﾄ ｸ ｼ ﾏ,146.3,181126
27.07,10000,ｾｲｶｺﾞｳｹｲ,37,ｶ ｶﾞ ﾜ,203529,34339799
27.07,10000,ｾｲｶｺﾞｳｹｲ,38,ｴ ﾋ ﾒ,1038.06,726862
27.07,10000,ｾｲｶｺﾞｳｹｲ,39,ｺ ｳ ﾁ,28241.1,23915524
27.07,10000,ｾｲｶｺﾞｳｹｲ,40,ﾌ ｸ ｵ ｶ,332.45,458028
27.07,10000,ｾｲｶｺﾞｳｹｲ,41,ｻ ｶﾞ,154179.21,48277091
27.07,10000,ｾｲｶｺﾞｳｹｲ,42,ﾅ ｶﾞ ｻ ｷ,23539.7,7401867
27.07,10000,ｾｲｶｺﾞｳｹｲ,43,ｸ ﾏ ﾓ ﾄ,12579.2,5174324
27.07,10000,ｾｲｶｺﾞｳｹｲ,44,ｵ ｵ ｲ ﾀ,5.9,9903
27.07,10000,ｾｲｶｺﾞｳｹｲ,45,ﾐ ﾔ ｻﾞ ｷ,12601.6,7156976
27.07,10000,ｾｲｶｺﾞｳｹｲ,46,ｶ ｺﾞ ｼ ﾏ,24589.82,15250146
27.07,10000,ｾｲｶｺﾞｳｹｲ,47,ｵ ｷ ﾅ ﾜ,504.9,1159067
27.07,10000,ｾｲｶｺﾞｳｹｲ,150,ﾕ ﾆ ﾕ ｳ,1422199.58,295530630
27.07,30000,ﾔｻｲ,0,*ｺﾞｳｹｲ*,4770081.48,1119127414
27.07,30000,ﾔｻｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,484179.8,84309471
27.07,30000,ﾔｻｲ,2,ｱ ｵ ﾓ ﾘ,447931.55,95320852
27.07,30000,ﾔｻｲ,3,ｲ ﾜ ﾃ,9470,5887307
27.07,30000,ﾔｻｲ,4,ﾐ ﾔ ｷﾞ,558.9,494140
27.07,30000,ﾔｻｲ,5,ｱ ｷ ﾀ,3438.45,1844444
27.07,30000,ﾔｻｲ,6,ﾔ ﾏ ｶﾞ ﾀ,63948.3,20535228
27.07,30000,ﾔｻｲ,7,ﾌ ｸ ｼ ﾏ,33314,10947788
27.07,30000,ﾔｻｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,281902.47,85129465
27.07,30000,ﾔｻｲ,9,ﾄ ﾁ ｷﾞ,10211.5,3800318
27.07,30000,ﾔｻｲ,10,ｸﾞ ﾝ ﾏ,786587.4,90630588
27.07,30000,ﾔｻｲ,11,ｻ ｲ ﾀ ﾏ,297.94,234819
27.07,30000,ﾔｻｲ,12,ﾁ ﾊﾞ,346456.46,99595387
27.07,30000,ﾔｻｲ,13,ﾄ ｳ ｷ ﾖ ｳ,16.42,22443
27.07,30000,ﾔｻｲ,14,ｶ ﾅ ｶﾞ ﾜ,618.15,503722
27.07,30000,ﾔｻｲ,15,ﾆ ｲ ｶﾞ ﾀ,4458.75,2403907
27.07,30000,ﾔｻｲ,16,ﾄ ﾔ ﾏ,1820,508356
27.07,30000,ﾔｻｲ,19,ﾔ ﾏ ﾅ ｼ,91946,29270256
27.07,30000,ﾔｻｲ,20,ﾅ ｶﾞ ﾉ,911263.7,142128573
27.07,30000,ﾔｻｲ,21,ｷﾞ ﾌ,494.24,439597
27.07,30000,ﾔｻｲ,22,ｼ ｽﾞ ｵ ｶ,584327.29,220063427
27.07,30000,ﾔｻｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,36427.47,19242797
27.07,30000,ﾔｻｲ,23,ｱ ｲ ﾁ,58940.01,27600516
27.07,30000,ﾔｻｲ,24,ﾐ ｴ,990.12,966280
27.07,30000,ﾔｻｲ,26,ｷ ﾖ ｳ ﾄ,137.15,159699
27.07,30000,ﾔｻｲ,27,ｵ ｵ ｻ ｶ,70,57888
27.07,30000,ﾔｻｲ,28,ﾋ ﾖ ｳ ｺﾞ,103560,19248408
27.07,30000,ﾔｻｲ,29,ﾅ ﾗ,373,244404
27.07,30000,ﾔｻｲ,30,ﾜ ｶ ﾔ ﾏ,294,162756
27.07,30000,ﾔｻｲ,33,ｵ ｶ ﾔ ﾏ,114.8,123768
27.07,30000,ﾔｻｲ,36,ﾄ ｸ ｼ ﾏ,146.3,181126
27.07,30000,ﾔｻｲ,37,ｶ ｶﾞ ﾜ,203529,34339799
27.07,30000,ﾔｻｲ,39,ｺ ｳ ﾁ,28239.9,23911852
27.07,30000,ﾔｻｲ,40,ﾌ ｸ ｵ ｶ,332.45,458028
27.07,30000,ﾔｻｲ,41,ｻ ｶﾞ,144982.62,43986683
27.07,30000,ﾔｻｲ,42,ﾅ ｶﾞ ｻ ｷ,23160.2,7148045
27.07,30000,ﾔｻｲ,43,ｸ ﾏ ﾓ ﾄ,10971.6,4168347
27.07,30000,ﾔｻｲ,44,ｵ ｵ ｲ ﾀ,5.9,9903
27.07,30000,ﾔｻｲ,45,ﾐ ﾔ ｻﾞ ｷ,11482.5,5925614
27.07,30000,ﾔｻｲ,46,ｶ ｺﾞ ｼ ﾏ,24589.82,15250146
27.07,30000,ﾔｻｲ,47,ｵ ｷ ﾅ ﾜ,97.9,150023
27.07,30000,ﾔｻｲ,150,ﾕ ﾆ ﾕ ｳ,58395.42,21721244
27.07,30001,ｺﾝｻｲﾙｲ,0,*ｺﾞｳｹｲ*,755385.1,113410060
27.07,30001,ｺﾝｻｲﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,291005,33977516
27.07,30001,ｺﾝｻｲﾙｲ,2,ｱ ｵ ﾓ ﾘ,343782.05,50938940
27.07,30001,ｺﾝｻｲﾙｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,12987,8236556
27.07,30001,ｺﾝｻｲﾙｲ,10,ｸﾞ ﾝ ﾏ,10046,2781248
27.07,30001,ｺﾝｻｲﾙｲ,11,ｻ ｲ ﾀ ﾏ,37,8856
27.07,30001,ｺﾝｻｲﾙｲ,12,ﾁ ﾊﾞ,75094.05,12142109
27.07,30001,ｺﾝｻｲﾙｲ,20,ﾅ ｶﾞ ﾉ,10035.2,1379959
27.07,30001,ｺﾝｻｲﾙｲ,22,ｼ ｽﾞ ｵ ｶ,7271.8,872697
27.07,30001,ｺﾝｻｲﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,22,356
27.07,30001,ｺﾝｻｲﾙｲ,23,ｱ ｲ ﾁ,180,428760
27.07,30001,ｺﾝｻｲﾙｲ,43,ｸ ﾏ ﾓ ﾄ,1408,1011582
27.07,30001,ｺﾝｻｲﾙｲ,45,ﾐ ﾔ ｻﾞ ｷ,2350,1109592
27.07,30001,ｺﾝｻｲﾙｲ,46,ｶ ｺﾞ ｼ ﾏ,590,449680
27.07,30001,ｺﾝｻｲﾙｲ,150,ﾕ ﾆ ﾕ ｳ,577,72209
27.07,30015,ﾀﾞｲｺﾝﾙｲ,0,*ｺﾞｳｹｲ*,425526,48719464
27.07,30015,ﾀﾞｲｺﾝﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,251915,25252852
27.07,30015,ﾀﾞｲｺﾝﾙｲ,2,ｱ ｵ ﾓ ﾘ,159985,21661922
27.07,30015,ﾀﾞｲｺﾝﾙｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,400,69120
27.07,30015,ﾀﾞｲｺﾝﾙｲ,10,ｸﾞ ﾝ ﾏ,22,1706
27.07,30015,ﾀﾞｲｺﾝﾙｲ,11,ｻ ｲ ﾀ ﾏ,2,1296
27.07,30015,ﾀﾞｲｺﾝﾙｲ,12,ﾁ ﾊﾞ,1280,138240
27.07,30015,ﾀﾞｲｺﾝﾙｲ,20,ﾅ ｶﾞ ﾉ,10000,1362960
27.07,30015,ﾀﾞｲｺﾝﾙｲ,22,ｼ ｽﾞ ｵ ｶ,1900,231012
27.07,30015,ﾀﾞｲｺﾝﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,22,356
