年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.08,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,6407330.82,1621952355
27.08,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2210239.23,363842713
27.08,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,198056.65,91410651
27.08,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,34480.5,9308060
27.08,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,534.75,506312
27.08,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,71692.16,16947133
27.08,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,122808.4,37568714
27.08,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,59190.37,20996366
27.08,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,270924.46,93191185
27.08,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,1531.4,1347569
27.08,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,982986.94,110337742
27.08,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,253.77,132712
27.08,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,103987.59,38925060
27.08,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,8.2,6372
27.08,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,100056.45,13474583
27.08,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,22478.2,8815261
27.08,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,300083.2,152443458
27.08,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,851555.53,241624090
27.08,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,20686.51,3390058
27.08,10000,ｾｲｶｺﾞｳｹｲ,22,ｼ ｽﾞ ｵ ｶ,410214.52,196829010
27.08,10000,ｾｲｶｺﾞｳｹｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,32935.14,20755977
27.08,10000,ｾｲｶｺﾞｳｹｲ,23,ｱ ｲ ﾁ,13459.15,19740587
27.08,10000,ｾｲｶｺﾞｳｹｲ,24,ﾐ ｴ,118.64,89586
27.08,10000,ｾｲｶｺﾞｳｹｲ,25,ｼ ｶﾞ,12,25920
27.08,10000,ｾｲｶｺﾞｳｹｲ,26,ｷ ﾖ ｳ ﾄ,161.7,177918
27.08,10000,ｾｲｶｺﾞｳｹｲ,27,ｵ ｵ ｻ ｶ,39,42768
27.08,10000,ｾｲｶｺﾞｳｹｲ,28,ﾋ ﾖ ｳ ｺﾞ,81514.4,14714860
27.08,10000,ｾｲｶｺﾞｳｹｲ,29,ﾅ ﾗ,138.5,120906
27.08,10000,ｾｲｶｺﾞｳｹｲ,30,ﾜ ｶ ﾔ ﾏ,1067.6,570368
