年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.09,10000,ｾｲｶｺﾞｳｹｲ,0,*ｺﾞｳｹｲ*,7520713.83,1833680870
27.09,10000,ｾｲｶｺﾞｳｹｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,3214708.84,471673155
27.09,10000,ｾｲｶｺﾞｳｹｲ,2,ｱ ｵ ﾓ ﾘ,394061.15,134354279
27.09,10000,ｾｲｶｺﾞｳｹｲ,3,ｲ ﾜ ﾃ,28807.7,9008323
27.09,10000,ｾｲｶｺﾞｳｹｲ,4,ﾐ ﾔ ｷﾞ,207.65,511049
27.09,10000,ｾｲｶｺﾞｳｹｲ,5,ｱ ｷ ﾀ,12185.91,2659607
27.09,10000,ｾｲｶｺﾞｳｹｲ,6,ﾔ ﾏ ｶﾞ ﾀ,112945.28,40868907
27.09,10000,ｾｲｶｺﾞｳｹｲ,7,ﾌ ｸ ｼ ﾏ,30503.7,12042312
27.09,10000,ｾｲｶｺﾞｳｹｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,318426.12,127974768
27.09,10000,ｾｲｶｺﾞｳｹｲ,9,ﾄ ﾁ ｷﾞ,4724.8,2682768
27.09,10000,ｾｲｶｺﾞｳｹｲ,10,ｸﾞ ﾝ ﾏ,873414.93,129492179
27.09,10000,ｾｲｶｺﾞｳｹｲ,11,ｻ ｲ ﾀ ﾏ,2883.2,1236245
27.09,10000,ｾｲｶｺﾞｳｹｲ,12,ﾁ ﾊﾞ,84783.9,33865290
27.09,10000,ｾｲｶｺﾞｳｹｲ,13,ﾄ ｳ ｷ ﾖ ｳ,14.2,11642
27.09,10000,ｾｲｶｺﾞｳｹｲ,14,ｶ ﾅ ｶﾞ ﾜ,4697.6,412711
27.09,10000,ｾｲｶｺﾞｳｹｲ,15,ﾆ ｲ ｶﾞ ﾀ,8692.5,6547329
27.09,10000,ｾｲｶｺﾞｳｹｲ,17,ｲ ｼ ｶ ﾜ,2.4,32400
27.09,10000,ｾｲｶｺﾞｳｹｲ,19,ﾔ ﾏ ﾅ ｼ,266648.2,126447845
27.09,10000,ｾｲｶｺﾞｳｹｲ,20,ﾅ ｶﾞ ﾉ,1181810.85,347786215
27.09,10000,ｾｲｶｺﾞｳｹｲ,21,ｷﾞ ﾌ,17706.58,2800016
27.09,10000,ｾｲｶｺﾞｳｹｲ,22,ｼ ｽﾞ ｵ ｶ,279566.29,158414334
27.09,10000,ｾｲｶｺﾞｳｹｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,37598.99,23886405
27.09,10000,ｾｲｶｺﾞｳｹｲ,23,ｱ ｲ ﾁ,21333.46,15576773
27.09,10000,ｾｲｶｺﾞｳｹｲ,24,ﾐ ｴ,39749.46,10564866
27.09,10000,ｾｲｶｺﾞｳｹｲ,26,ｷ ﾖ ｳ ﾄ,187.95,295467
27.09,10000,ｾｲｶｺﾞｳｹｲ,27,ｵ ｵ ｻ ｶ,11,11232
27.09,10000,ｾｲｶｺﾞｳｹｲ,28,ﾋ ﾖ ｳ ｺﾞ,3631.5,638236
27.09,10000,ｾｲｶｺﾞｳｹｲ,29,ﾅ ﾗ,11517.5,3826548
27.09,10000,ｾｲｶｺﾞｳｹｲ,30,ﾜ ｶ ﾔ ﾏ,6650.9,2344624
27.09,10000,ｾｲｶｺﾞｳｹｲ,33,ｵ ｶ ﾔ ﾏ,62.4,113454
27.09,10000,ｾｲｶｺﾞｳｹｲ,34,ﾋ ﾛ ｼ ﾏ,25,35640
27.09,10000,ｾｲｶｺﾞｳｹｲ,36,ﾄ ｸ ｼ ﾏ,490.69,286383
27.09,10000,ｾｲｶｺﾞｳｹｲ,37,ｶ ｶﾞ ﾜ,1499,236412
27.09,10000,ｾｲｶｺﾞｳｹｲ,38,ｴ ﾋ ﾒ,944,529524
27.09,10000,ｾｲｶｺﾞｳｹｲ,39,ｺ ｳ ﾁ,19636.75,16928342
27.09,10000,ｾｲｶｺﾞｳｹｲ,40,ﾌ ｸ ｵ ｶ,74.55,231941
27.09,10000,ｾｲｶｺﾞｳｹｲ,41,ｻ ｶﾞ,4687.15,5178676
27.09,10000,ｾｲｶｺﾞｳｹｲ,42,ﾅ ｶﾞ ｻ ｷ,6.2,6426
27.09,10000,ｾｲｶｺﾞｳｹｲ,43,ｸ ﾏ ﾓ ﾄ,7129.1,3061044
27.09,10000,ｾｲｶｺﾞｳｹｲ,44,ｵ ｵ ｲ ﾀ,127.51,151025
27.09,10000,ｾｲｶｺﾞｳｹｲ,45,ﾐ ﾔ ｻﾞ ｷ,85143.4,20637409
27.09,10000,ｾｲｶｺﾞｳｹｲ,46,ｶ ｺﾞ ｼ ﾏ,9412,7474458
27.09,10000,ｾｲｶｺﾞｳｹｲ,47,ｵ ｷ ﾅ ﾜ,130.38,227578
27.09,10000,ｾｲｶｺﾞｳｹｲ,150,ﾕ ﾆ ﾕ ｳ,433873.14,112617033
27.09,30000,ﾔｻｲ,0,*ｺﾞｳｹｲ*,6131128.22,1386483739
27.09,30000,ﾔｻｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,3210616.64,469672856
27.09,30000,ﾔｻｲ,2,ｱ ｵ ﾓ ﾘ,187257.25,82967413
27.09,30000,ﾔｻｲ,3,ｲ ﾜ ﾃ,28657.7,8971063
27.09,30000,ﾔｻｲ,4,ﾐ ﾔ ｷﾞ,207.65,511049
27.09,30000,ﾔｻｲ,5,ｱ ｷ ﾀ,3590.91,1579499
27.09,30000,ﾔｻｲ,6,ﾔ ﾏ ｶﾞ ﾀ,55308.86,24510145
27.09,30000,ﾔｻｲ,7,ﾌ ｸ ｼ ﾏ,30483.7,12027192
27.09,30000,ﾔｻｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,155243.12,82256293
27.09,30000,ﾔｻｲ,9,ﾄ ﾁ ｷﾞ,3814.8,2288568
27.09,30000,ﾔｻｲ,10,ｸﾞ ﾝ ﾏ,873011.53,129370085
27.09,30000,ﾔｻｲ,11,ｻ ｲ ﾀ ﾏ,2565.2,1136213
27.09,30000,ﾔｻｲ,12,ﾁ ﾊﾞ,84783.9,33865290
27.09,30000,ﾔｻｲ,13,ﾄ ｳ ｷ ﾖ ｳ,14.2,11642
27.09,30000,ﾔｻｲ,14,ｶ ﾅ ｶﾞ ﾜ,452.6,390225
27.09,30000,ﾔｻｲ,15,ﾆ ｲ ｶﾞ ﾀ,8665.3,6524865
27.09,30000,ﾔｻｲ,19,ﾔ ﾏ ﾅ ｼ,177024.1,60223402
27.09,30000,ﾔｻｲ,20,ﾅ ｶﾞ ﾉ,974669.77,245092128
27.09,30000,ﾔｻｲ,21,ｷﾞ ﾌ,238.58,158389
27.09,30000,ﾔｻｲ,22,ｼ ｽﾞ ｵ ｶ,199491.84,121711153
27.09,30000,ﾔｻｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,30773.55,20856763
27.09,30000,ﾔｻｲ,23,ｱ ｲ ﾁ,4750.46,12153924
27.09,30000,ﾔｻｲ,24,ﾐ ｴ,1431.56,558479
27.09,30000,ﾔｻｲ,26,ｷ ﾖ ｳ ﾄ,187.95,295467
27.09,30000,ﾔｻｲ,27,ｵ ｵ ｻ ｶ,11,11232
27.09,30000,ﾔｻｲ,28,ﾋ ﾖ ｳ ｺﾞ,3631.5,638236
27.09,30000,ﾔｻｲ,29,ﾅ ﾗ,190,167400
27.09,30000,ﾔｻｲ,30,ﾜ ｶ ﾔ ﾏ,280.9,39258
27.09,30000,ﾔｻｲ,33,ｵ ｶ ﾔ ﾏ,62.4,113454
27.09,30000,ﾔｻｲ,34,ﾋ ﾛ ｼ ﾏ,25,35640
27.09,30000,ﾔｻｲ,36,ﾄ ｸ ｼ ﾏ,490.69,286383
27.09,30000,ﾔｻｲ,37,ｶ ｶﾞ ﾜ,1499,236412
27.09,30000,ﾔｻｲ,38,ｴ ﾋ ﾒ,680,359316
27.09,30000,ﾔｻｲ,39,ｺ ｳ ﾁ,19632.85,16902098
27.09,30000,ﾔｻｲ,40,ﾌ ｸ ｵ ｶ,74.55,231941
27.09,30000,ﾔｻｲ,41,ｻ ｶﾞ,4687.15,5178676
27.09,30000,ﾔｻｲ,42,ﾅ ｶﾞ ｻ ｷ,6.2,6426
27.09,30000,ﾔｻｲ,43,ｸ ﾏ ﾓ ﾄ,4119.1,2608416
27.09,30000,ﾔｻｲ,44,ｵ ｵ ｲ ﾀ,127.51,151025
27.09,30000,ﾔｻｲ,45,ﾐ ﾔ ｻﾞ ｷ,17812.9,8282392
27.09,30000,ﾔｻｲ,46,ｶ ｺﾞ ｼ ﾏ,9352,7358520
27.09,30000,ﾔｻｲ,47,ｵ ｷ ﾅ ﾜ,1.58,8446
27.09,30000,ﾔｻｲ,150,ﾕ ﾆ ﾕ ｳ,35202.72,26736365
27.09,30001,ｺﾝｻｲﾙｲ,0,*ｺﾞｳｹｲ*,1059184.64,179311862
27.09,30001,ｺﾝｻｲﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,902842.22,122173650
27.09,30001,ｺﾝｻｲﾙｲ,2,ｱ ｵ ﾓ ﾘ,58735.5,9023119
27.09,30001,ｺﾝｻｲﾙｲ,3,ｲ ﾜ ﾃ,4000,463482
27.09,30001,ｺﾝｻｲﾙｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,67259.6,38811690
27.09,30001,ｺﾝｻｲﾙｲ,10,ｸﾞ ﾝ ﾏ,8570,2468124
27.09,30001,ｺﾝｻｲﾙｲ,11,ｻ ｲ ﾀ ﾏ,401.3,81226
27.09,30001,ｺﾝｻｲﾙｲ,12,ﾁ ﾊﾞ,6840.85,2784206
27.09,30001,ｺﾝｻｲﾙｲ,20,ﾅ ｶﾞ ﾉ,7811.13,1883239
27.09,30001,ｺﾝｻｲﾙｲ,22,ｼ ｽﾞ ｵ ｶ,156.64,97032
27.09,30001,ｺﾝｻｲﾙｲ,23,ｱ ｲ ﾁ,127.82,460490
27.09,30001,ｺﾝｻｲﾙｲ,45,ﾐ ﾔ ｻﾞ ｷ,1430,703512
27.09,30001,ｺﾝｻｲﾙｲ,46,ｶ ｺﾞ ｼ ﾏ,400,273564
27.09,30001,ｺﾝｻｲﾙｲ,150,ﾕ ﾆ ﾕ ｳ,609.58,88528
27.09,30015,ﾀﾞｲｺﾝﾙｲ,0,*ｺﾞｳｹｲ*,539324,64399374
27.09,30015,ﾀﾞｲｺﾝﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,496095,60002208
27.09,30015,ﾀﾞｲｺﾝﾙｲ,2,ｱ ｵ ﾓ ﾘ,39185,3925692
27.09,30015,ﾀﾞｲｺﾝﾙｲ,3,ｲ ﾜ ﾃ,4000,463482
27.09,30015,ﾀﾞｲｺﾝﾙｲ,10,ｸﾞ ﾝ ﾏ,34,6264
27.09,30015,ﾀﾞｲｺﾝﾙｲ,11,ｻ ｲ ﾀ ﾏ,10,1728
27.09,70100,ﾀﾞｲｺﾝ,0,*ｺﾞｳｹｲ*,494435,59300640
27.09,70100,ﾀﾞｲｺﾝ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,483735,58190886
