年度,品名コード,地区コード１,品名,地区名,数量(kg),金額(円)
26,10000,,ｾｲｶｺﾞｳｹｲ     ****,,128998174.3,25532925955
26,10000,1,ｾｲｶｺﾞｳｹｲ     ****,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,30298356.45,3523383748
26,10000,2,ｾｲｶｺﾞｳｹｲ     ****,ｱ ｵ ﾓ ﾘ,4379714.75,1206697235
26,10000,3,ｾｲｶｺﾞｳｹｲ     ****,ｲ ﾜ ﾃ,85226.85,45661660
26,10000,4,ｾｲｶｺﾞｳｹｲ     ****,ﾐ ﾔ ｷﾞ,21657.21,14938813
26,10000,5,ｾｲｶｺﾞｳｹｲ     ****,ｱ ｷ ﾀ,159965.62,34547753
26,10000,6,ｾｲｶｺﾞｳｹｲ     ****,ﾔ ﾏ ｶﾞ ﾀ,934859.92,301787408
26,10000,7,ｾｲｶｺﾞｳｹｲ     ****,ﾌ ｸ ｼ ﾏ,157093.26,58480689
26,10000,8,ｾｲｶｺﾞｳｹｲ     ****,ｲ ﾊﾞ ﾗ ｷﾞ,10323319.21,1734411104
26,10000,9,ｾｲｶｺﾞｳｹｲ     ****,ﾄ ﾁ ｷﾞ,122114.82,42377878
26,10000,10,ｾｲｶｺﾞｳｹｲ     ****,ｸﾞ ﾝ ﾏ,3791409.9,576179684
26,10000,11,ｾｲｶｺﾞｳｹｲ     ****,ｻ ｲ ﾀ ﾏ,362974.91,129636541
26,10000,12,ｾｲｶｺﾞｳｹｲ     ****,ﾁ ﾊﾞ,7899606.23,1157382860
26,10000,13,ｾｲｶｺﾞｳｹｲ     ****,ﾄ ｳ ｷ ﾖ ｳ,12830.29,2581555
26,10000,14,ｾｲｶｺﾞｳｹｲ     ****,ｶ ﾅ ｶﾞ ﾜ,3006673.75,230020032
26,10000,15,ｾｲｶｺﾞｳｹｲ     ****,ﾆ ｲ ｶﾞ ﾀ,141964.5,50286790
26,10000,16,ｾｲｶｺﾞｳｹｲ     ****,ﾄ ﾔ ﾏ,9225.4,3862015
26,10000,17,ｾｲｶｺﾞｳｹｲ     ****,ｲ ｼ ｶ ﾜ,5198,511272
26,10000,18,ｾｲｶｺﾞｳｹｲ     ****,ﾌ ｸ ｲ,1106,475740
