年,品名コード,地区コード１,品名,地区名,数量(kg),金額(円)
26,10000,,ｾｲｶｺﾞｳｹｲ     ****,,122059576.7,24739968687
26,10000,1,ｾｲｶｺﾞｳｹｲ     ****,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,26929094.19,3265301234
26,10000,2,ｾｲｶｺﾞｳｹｲ     ****,ｱ ｵ ﾓ ﾘ,4349944.87,1213009583
26,10000,3,ｾｲｶｺﾞｳｹｲ     ****,ｲ ﾜ ﾃ,84348.05,45028911
26,10000,4,ｾｲｶｺﾞｳｹｲ     ****,ﾐ ﾔ ｷﾞ,21551.05,14531797
26,10000,5,ｾｲｶｺﾞｳｹｲ     ****,ｱ ｷ ﾀ,159457.77,33397749
26,10000,6,ｾｲｶｺﾞｳｹｲ     ****,ﾔ ﾏ ｶﾞ ﾀ,934842.08,302114099
26,10000,7,ｾｲｶｺﾞｳｹｲ     ****,ﾌ ｸ ｼ ﾏ,156693.62,57853769
26,10000,8,ｾｲｶｺﾞｳｹｲ     ****,ｲ ﾊﾞ ﾗ ｷﾞ,9892680.81,1698543888
26,10000,9,ｾｲｶｺﾞｳｹｲ     ****,ﾄ ﾁ ｷﾞ,120259.62,39665442
26,10000,10,ｾｲｶｺﾞｳｹｲ     ****,ｸﾞ ﾝ ﾏ,3822868.55,578411542
26,10000,11,ｾｲｶｺﾞｳｹｲ     ****,ｻ ｲ ﾀ ﾏ,337769.11,114157496
26,10000,12,ｾｲｶｺﾞｳｹｲ     ****,ﾁ ﾊﾞ,7520225.54,1174462449
26,10000,13,ｾｲｶｺﾞｳｹｲ     ****,ﾄ ｳ ｷ ﾖ ｳ,12664.61,2606332
26,10000,14,ｾｲｶｺﾞｳｹｲ     ****,ｶ ﾅ ｶﾞ ﾜ,2783395.25,190881502
26,10000,15,ｾｲｶｺﾞｳｹｲ     ****,ﾆ ｲ ｶﾞ ﾀ,197159.7,70497771
26,10000,16,ｾｲｶｺﾞｳｹｲ     ****,ﾄ ﾔ ﾏ,9348.8,3896677
26,10000,17,ｾｲｶｺﾞｳｹｲ     ****,ｲ ｼ ｶ ﾜ,6548,945132
26,10000,18,ｾｲｶｺﾞｳｹｲ     ****,ﾌ ｸ ｲ,1416,508920
26,10000,19,ｾｲｶｺﾞｳｹｲ     ****,ﾔ ﾏ ﾅ ｼ,1714933.51,680127737
26,10000,20,ｾｲｶｺﾞｳｹｲ     ****,ﾅ ｶﾞ ﾉ,7657914.75,1819694510
26,10000,21,ｾｲｶｺﾞｳｹｲ     ****,ｷﾞ ﾌ,288867.88,46796663
26,10000,22,ｾｲｶｺﾞｳｹｲ     ****,ｼ ｽﾞ ｵ ｶ,19640813.46,5994206853
26,10000,23,ｾｲｶｺﾞｳｹｲ     ****,ｱ ｲ ﾁ,5417213.56,920229085
26,10000,24,ｾｲｶｺﾞｳｹｲ     ****,ﾐ ｴ,356381.11,80130247
26,10000,25,ｾｲｶｺﾞｳｹｲ     ****,ｼ ｶﾞ,375,29160
26,10000,26,ｾｲｶｺﾞｳｹｲ     ****,ｷ ﾖ ｳ ﾄ,2630.1,2416250
26,10000,27,ｾｲｶｺﾞｳｹｲ     ****,ｵ ｵ ｻ ｶ,11273,11512368
26,10000,28,ｾｲｶｺﾞｳｹｲ     ****,ﾋ ﾖ ｳ ｺﾞ,359131.7,38530206
26,10000,29,ｾｲｶｺﾞｳｹｲ     ****,ﾅ ﾗ,69096.5,19542990
26,10000,30,ｾｲｶｺﾞｳｹｲ     ****,ﾜ ｶ ﾔ ﾏ,125352.5,28892468
26,10000,31,ｾｲｶｺﾞｳｹｲ     ****,ﾄ ﾂ ﾄ ﾘ,11923,5780488
26,10000,32,ｾｲｶｺﾞｳｹｲ     ****,ｼ ﾏ ﾈ,5535.6,7184721
26,10000,33,ｾｲｶｺﾞｳｹｲ     ****,ｵ ｶ ﾔ ﾏ,4273.98,4230703
26,10000,34,ｾｲｶｺﾞｳｹｲ     ****,ﾋ ﾛ ｼ ﾏ,1254,415704
26,10000,35,ｾｲｶｺﾞｳｹｲ     ****,ﾔ ﾏ ｸﾞ ﾁ,0.4,24840
26,10000,36,ｾｲｶｺﾞｳｹｲ     ****,ﾄ ｸ ｼ ﾏ,1573528.88,212218116
26,10000,37,ｾｲｶｺﾞｳｹｲ     ****,ｶ ｶﾞ ﾜ,823375.45,105280000
26,10000,38,ｾｲｶｺﾞｳｹｲ     ****,ｴ ﾋ ﾒ,62679.48,23933215
26,10000,39,ｾｲｶｺﾞｳｹｲ     ****,ｺ ｳ ﾁ,403389.9,286724949
26,10000,40,ｾｲｶｺﾞｳｹｲ     ****,ﾌ ｸ ｵ ｶ,39123.09,18398420
26,10000,41,ｾｲｶｺﾞｳｹｲ     ****,ｻ ｶﾞ,2922986.94,457190362
26,10000,42,ｾｲｶｺﾞｳｹｲ     ****,ﾅ ｶﾞ ｻ ｷ,307056.97,47454758
26,10000,43,ｾｲｶｺﾞｳｹｲ     ****,ｸ ﾏ ﾓ ﾄ,2207807.23,759183450
26,10000,44,ｾｲｶｺﾞｳｹｲ     ****,ｵ ｵ ｲ ﾀ,49084.16,5895045
26,10000,45,ｾｲｶｺﾞｳｹｲ     ****,ﾐ ﾔ ｻﾞ ｷ,915083.22,379603921
26,10000,46,ｾｲｶｺﾞｳｹｲ     ****,ｶ ｺﾞ ｼ ﾏ,1425265.31,395655310
26,10000,47,ｾｲｶｺﾞｳｹｲ     ****,ｵ ｷ ﾅ ﾜ,20217.52,11672522
26,10000,221,ｾｲｶｺﾞｳｹｲ     ****,ｾｲｾｲﾁｸ,974088.69,433430233
26,10000,150,ｾｲｶｺﾞｳｹｲ     ****,ﾕ ﾆ ﾕ ｳ,17328652.2,3137769100
26,30000,,ﾔｻｲ          ****,,91740705.1,16981109916
26,30000,1,ﾔｻｲ          ****,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,26916691.28,3257828213
26,30000,2,ﾔｻｲ          ****,ｱ ｵ ﾓ ﾘ,1959504.11,484601887
26,30000,3,ﾔｻｲ          ****,ｲ ﾜ ﾃ,82798.05,44614299
26,30000,4,ﾔｻｲ          ****,ﾐ ﾔ ｷﾞ,20183.05,14154963
26,30000,5,ﾔｻｲ          ****,ｱ ｷ ﾀ,15853.17,12645499
26,30000,6,ﾔｻｲ          ****,ﾔ ﾏ ｶﾞ ﾀ,373525.46,143937621
26,30000,7,ﾔｻｲ          ****,ﾌ ｸ ｼ ﾏ,156437.62,57760559
26,30000,8,ﾔｻｲ          ****,ｲ ﾊﾞ ﾗ ｷﾞ,9323877.41,1552161988
26,30000,9,ﾔｻｲ          ****,ﾄ ﾁ ｷﾞ,114069.02,38158578
26,30000,10,ﾔｻｲ          ****,ｸﾞ ﾝ ﾏ,3816177.65,576441521
26,30000,11,ﾔｻｲ          ****,ｻ ｲ ﾀ ﾏ,333613.17,112807906
26,30000,12,ﾔｻｲ          ****,ﾁ ﾊﾞ,7469625.04,1163851935
26,30000,13,ﾔｻｲ          ****,ﾄ ｳ ｷ ﾖ ｳ,11956.61,2353612
26,30000,14,ﾔｻｲ          ****,ｶ ﾅ ｶﾞ ﾜ,2637433.35,179833534
26,30000,15,ﾔｻｲ          ****,ﾆ ｲ ｶﾞ ﾀ,120547.1,55290910
26,30000,16,ﾔｻｲ          ****,ﾄ ﾔ ﾏ,7711.4,1119031
26,30000,17,ﾔｻｲ          ****,ｲ ｼ ｶ ﾜ,1433,470148
26,30000,18,ﾔｻｲ          ****,ﾌ ｸ ｲ,760,174444
26,30000,19,ﾔｻｲ          ****,ﾔ ﾏ ﾅ ｼ,1080248,277477872
26,30000,20,ﾔｻｲ          ****,ﾅ ｶﾞ ﾉ,6520126.63,1298071233
26,30000,21,ﾔｻｲ          ****,ｷﾞ ﾌ,24694.28,5444983
26,30000,22,ﾔｻｲ          ****,ｼ ｽﾞ ｵ ｶ,13528284.17,3694539106
26,30000,23,ﾔｻｲ          ****,ｱ ｲ ﾁ,4811646.58,805820546
26,30000,24,ﾔｻｲ          ****,ﾐ ｴ,18955.11,7891188
26,30000,26,ﾔｻｲ          ****,ｷ ﾖ ｳ ﾄ,2630.1,2416250
26,30000,27,ﾔｻｲ          ****,ｵ ｵ ｻ ｶ,599,526392
26,30000,28,ﾔｻｲ          ****,ﾋ ﾖ ｳ ｺﾞ,359131.7,38530206
26,30000,29,ﾔｻｲ          ****,ﾅ ﾗ,2820.5,1976094
26,30000,30,ﾔｻｲ          ****,ﾜ ｶ ﾔ ﾏ,13555.3,5692449
26,30000,31,ﾔｻｲ          ****,ﾄ ﾂ ﾄ ﾘ,11853,5769904
26,30000,33,ﾔｻｲ          ****,ｵ ｶ ﾔ ﾏ,2922.48,2045993
