●収益的収支　　消費税抜き,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）
区分,H25年度決算額,区分,H25年度決算額
下水道使用料,"9,671,857",人件費,"1,130,472"
雨水処理負担金,"4,997,733",動力費,"692,813"
受託工事収益,0,修繕費,"574,518"
営業外収益,"3,189,416",薬品費,"112,120"
その他,404,委託料,"1,919,433"
,,受託工事費,0
,,減価償却費等,"8,539,195"
,,支払利息,"3,757,719"
,,その他,"822,501"
計,"17,859,410",計,"17,548,772"
,,差引損益,"310,638"
,,,
●資本的収支　　消費税込み,,,
＜収入＞,（単位：千円）,＜支出＞,（単位：千円）
区分,H25年度決算額,区分,H25年度決算額
企業債,"5,214,100",下水道整備費,"8,061,650"
国庫支出金,"2,494,046",流域下水道整備費,0
受益者負担金,"642,247",企業債償還金,"9,861,639"
補てん財源,"9,353,932",その他,"524,359"
その他,"743,323",,
計,"18,447,648",計,"18,447,648"
