No.,店舗・施設名,住所,整備事業者,緯度,経度
199,和菓子・洋菓子の店　保昇軒,駿河区用宗4-5-25,NTT西日本(dospot),34.922193,138.3611211
198,土田整体,駿河区稲川1-10-27,NTT西日本(dospot),34.966729,138.389795
197,fascis,葵区瀬名中央4-6-38,NTT西日本(dospot),35.0109088,138.4234801
196,おざわ接骨院本院,葵区片羽町3,NTT西日本(dospot),34.9821445,138.3750184
195,サン・マリノ,駿河区馬渕2-11-19-2,NTT西日本(dospot),34.9661742,138.3862206
194,ミヤモト額縁&amp画廊,清水区銀座4-10,NTT西日本(dospot),35.0183598,138.4868971
193,BBM,駿河区向敷地786-2,NTT西日本(dospot),34.9592334,138.35834
192,南八幡幼稚園,駿河区南八幡町3-6,NTT西日本(dospot),34.9623889,138.401686
191,岡本自動車,清水区七ッ新屋2-6-3,NTT西日本(dospot),35.0104624,138.4495423
190,ホテルアソシア静岡写真室,葵区黒金町56,NTT西日本(dospot),34.9730095,138.3897535
189,清水シティチャーチ,清水区辻1-15-1,NTT西日本(dospot),35.0243341,138.4888329
188,(株)小野田建築,葵区古庄5-12-28,NTT西日本(dospot),34.9985935,138.418789
187,お茶のまるか,葵区新富町二丁目24-7,NTT西日本(dospot),34.9746676,138.3700468
186,柴田保険事務所,駿河区石田3丁目4-33-206,NTT西日本(dospot),34.9569728,138.4015612
185,(株)杉本商店,駿河区八幡2-2-17,NTT西日本(dospot),34.969399,138.394853
184,スズキアリーナ静岡中央,駿河区池田182-2,NTT西日本(dospot),34.9850729,138.4213975
183,SERENO,駿河区池田74ソフィエールⅠ101,NTT西日本(dospot),34.9844864,138.4178875
182,Flat,駿河区池田809-1,NTT西日本(dospot),34.9789154,138.4242502
181,(有)杉山木工所,葵区安倍口新田269-1,NTT西日本(dospot),35.0166182,138.358597
180,(株)エコ・クリエイツ,葵区東草深町22-1,NTT西日本(dospot),34.9835166,138.3814817
179,海事代理士　行政書士　勝山事務所,葵区昭和町1-2,NTT西日本(dospot),34.9722568,138.3841345
178,帽子屋アトゥマ,葵区鷹匠2-21-12,NTT西日本(dospot),34.977423,138.3914948
177,倉田雅年法律事務所,清水区上清水町6-22,NTT西日本(dospot),35.0115299,138.48207
176,Ripple,葵区東千代田1-7-18,NTT西日本(dospot),35.0004235,138.4083176
175,(株)グリーン不動産,駿河区緑が丘町4-52,NTT西日本(dospot),34.9543812,138.3823991
174,賢開事務機,葵区瀬名7-11-3,NTT西日本(dospot),35.0324118,138.423619
173,ステンドグラス工房　アナンドリーラー,葵区鷹匠3-5-14第2ふじのビル1F,NTT西日本(dospot),34.9803137,138.3889066
172,HAKKA　CLUB,葵区伝馬18-14-1F,NTT西日本(dospot),34.975619,138.390047
171,森山工業,駿河区八幡2-15-16,NTT西日本(dospot),34.9716627,138.3976417
170,長谷川防水,駿河区下島228-2,NTT西日本(dospot),34.9483682,138.4080609
169,大石清隆瓦店,清水区渋川1-8-29,NTT西日本(dospot),35.0232698,138.4705846
168,服部米店,葵区人宿町1-2-7,NTT西日本(dospot),34.973966,138.379337
167,(有)環プロダクツ,駿河区用宗城山町6-22,NTT西日本(dospot),34.922118,138.3580713
166,清水河岸の市協同組合,清水区島崎町149,NTT西日本(dospot),35.0203235,138.4906467
165,新佐野商会,葵区城東町40-15,NTT西日本(dospot),34.9850693,138.3913613
164,百町森,葵区鷹匠1-14-12,NTT西日本(dospot),34.9758231,138.388909
163,(株)建築工房木香,駿河区国吉田5-17-10,NTT西日本(dospot),34.993325,138.4364156
162,井林商店,駿河区大坪町5-18,NTT西日本(dospot),34.9645052,138.3967086
161,ビーンズマーケット,葵区池ヶ谷東14-30,NTT西日本(dospot),35.0058917,138.3879944
160,芦家丈左衛門,葵区瀬名川1-21-30,NTT西日本(dospot),35.0054929,138.4266133
159,かしはる　安倍川店,駿河区東新田1-16-10,NTT西日本(dospot),34.9481875,138.3709531
158,Ben　Motors,清水区横砂南町4-30,NTT西日本(dospot),35.0396767,138.5010647
157,Auto　Shop　MARU,清水区追分4-2305-45,NTT西日本(dospot),35.0134653,138.4665491
156,K・オート,葵区古庄1丁目6-7,NTT西日本(dospot),34.9910695,138.4219611
155,(株)アローズ,葵区山崎2-22-8,NTT西日本(dospot),34.9790949,138.3537899
154,諸国みそ,葵区金座町61,NTT西日本(dospot),34.9766674,138.3768851
153,駿府城中案内所,葵区駿府城公園1-1,エレコム,34.978267,138.383483
152,(株)ASEED,葵区昭和町5-6,NTT西日本(dospot),34.9712458,138.3839568
151,(有)ブリッジプラン,駿河区小黒1-10-24,NTT西日本(dospot),34.9744098,138.4028828
150,(株)静岡県電機工事協力会,駿河区津島町12-27,NTT西日本(dospot),34.9598666,138.3820018
149,ボヌール・ハルカ・ボーテ,葵区伝馬町9-3芝田ビル2F,NTT西日本(dospot),34.9751299,138.3883901
148,OA教室,清水区蒲原新田2-3-4,NTT西日本(dospot),35.1177046,138.6004814
147,京呉服　しおさか,清水区八坂北2-11-28,NTT西日本(dospot),35.0388431,138.4739644
146,(株)スペースアート,駿河区中吉田23-12,NTT西日本(dospot),34.9978745,138.4354128
145,きっずえんじぇる静岡千代田店,葵区沓谷5-1-7,NTT西日本(dospot),34.9947991,138.4078984
144,KURITA,葵区伝馬町12-7伝馬パークビル1F,NTT西日本(dospot),34.9746644,138.3897545
143,はんばぁぐや,葵区西草深町6-34グランドパレス白鳥106号,NTT西日本(dospot),34.981109,138.379886
142,グランシエル,葵区鷹匠1-12-1青葉園ビル503号,NTT西日本(dospot),34.9761581,138.3883316
141,(有)あおい設備設計事務所,葵区新富町6-8-1,NTT西日本(dospot),34.9689544,138.3706747
140,スナック　カトレア,駿河区宮竹1-10-1,NTT西日本(dospot),34.9552371,138.4135991
139,岩崎こうじ屋,清水区入江南町14-31,NTT西日本(dospot),35.016507,138.4781841
138,(有)しおから本舗,清水区蒲原小金87-3,NTT西日本(dospot),35.1139716,138.5920627
137,オートペイントイケムラ,葵区岳美14-8,NTT西日本(dospot),35.0097051,138.3887749
